year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2010-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01,0.0,0.0,0.0,0.0,194.0,0.29,0.0,3.5
2011-02,0.0,0.0,0.0,0.0,585.0,21.66,0.22,9.43
2011-03,0.0,0.0,0.0,0.0,82.0,0.42,0.0,0.11
2011-04,0.0,0.0,0.0,0.0,564.0,3.04,0.03,0.69
2011-05,0.0,0.0,0.0,0.0,281.0,1.9,0.02,0.42
2011-06,0.0,0.0,0.0,0.0,494.0,6.29,0.06,1.18
2011-07,0.0,0.0,0.0,0.0,533.0,19.87,0.2,3.38
2011-08,0.0,0.0,0.0,0.0,533.0,21.24,0.21,3.57
2011-09,0.0,0.0,0.0,0.0,376.0,11.04,0.11,1.91
2011-10,0.0,0.0,0.0,0.0,446.0,7.27,0.07,1.62
2011-11,0.0,0.0,0.0,0.0,451.0,9.07,0.09,2.13
2011-12,0.0,0.0,0.0,0.0,579.0,14.27,0.14,3.14
2012-01,0.0,0.0,0.0,0.0,433.0,10.11,0.1,2.59
2012-02,0.0,0.0,0.0,0.0,412.0,10.26,0.1,2.56
2012-03,0.0,0.0,0.0,0.0,368.0,4.85,0.05,1.2
2012-04,0.0,0.0,0.0,0.0,552.0,24.1,0.24,4.48
2012-05,0.0,0.0,0.0,34.5,547.0,23.73,0.24,5.27
2012-06,0.0,0.0,0.0,104.5,536.0,38.04,0.38,6.67
2012-07,0.0,0.0,0.0,7.5,531.0,23.76,0.24,4.13
2012-08,0.0,0.0,0.0,151.75,533.0,48.16,0.49,7.59
2012-09,0.0,0.0,0.0,0.0,535.0,21.29,0.21,3.76
2012-10,0.0,0.0,0.0,0.0,526.0,11.51,0.12,2.38
2012-11,0.0,0.0,0.0,0.0,472.0,9.77,0.1,2.56
2012-12,0.0,0.0,0.0,0.0,515.0,18.97,0.19,4.23
2013-01,0.0,0.0,0.0,48.5,488.0,19.33,0.2,4.86
2013-02,0.0,0.0,0.0,0.0,558.0,14.57,0.15,3.94
2013-03,0.0,0.0,0.0,0.0,571.0,14.64,0.15,3.42
2013-04,0.0,0.0,0.0,0.0,456.0,10.13,0.1,2.52
2013-05,0.0,0.0,0.0,0.0,433.0,7.55,0.08,1.76
2013-06,0.0,0.0,0.0,0.0,434.0,16.99,0.17,4.15
2013-07,0.0,0.0,0.0,40.25,433.0,23.96,0.24,4.15
2013-08,0.0,0.0,0.0,39.0,537.0,34.16,0.34,6.98
2013-09,0.0,0.0,0.0,0.0,398.0,15.05,0.15,2.78
2013-10,0.0,0.0,0.0,0.0,478.0,6.89,0.07,1.84
2013-11,0.0,0.0,0.0,0.0,440.0,5.91,0.06,1.61
2013-12,0.0,0.0,0.0,0.0,458.0,13.04,0.13,3.24
2014-01,0.0,0.0,0.0,0.0,550.0,8.82,0.09,2.72
2014-02,0.0,0.0,0.0,0.0,424.0,6.89,0.07,1.85
2014-03,0.0,0.0,0.0,0.0,458.0,8.5,0.09,2.39
2014-04,0.0,0.0,0.0,0.0,493.0,6.26,0.06,1.5
2014-05,0.0,0.0,0.0,0.0,477.0,15.46,0.16,3.04
2014-06,0.0,0.0,0.0,0.0,546.0,19.58,0.2,3.91
2014-07,0.0,0.0,0.0,0.0,442.0,23.48,0.24,4.34
2014-08,0.0,0.0,0.0,0.0,485.0,15.72,0.16,3.08
2014-09,0.0,0.0,0.0,0.0,486.0,16.3,0.16,3.31
2014-10,0.0,0.0,0.0,0.0,512.0,8.59,0.09,2.03
2014-11,0.0,0.0,0.0,0.0,491.0,17.39,0.18,4.37
2014-12,0.0,0.0,0.0,0.0,480.0,15.66,0.16,3.81
2015-01,0.0,0.0,0.0,42.25,480.0,18.27,0.18,5.09
2015-02,0.0,0.0,0.0,0.0,475.0,14.0,0.14,3.85
2015-03,0.0,0.0,0.0,0.0,511.0,20.34,0.21,4.76
2015-04,0.0,0.0,0.0,0.0,484.0,15.2,0.15,3.42
2015-05,0.0,0.0,0.0,0.0,472.0,12.12,0.12,2.6
2015-06,0.0,0.0,0.0,87.0,499.0,37.88,0.38,7.07
2015-07,0.0,0.0,0.0,0.0,357.0,13.78,0.14,4.67
2015-08,0.0,0.0,0.0,83.25,442.0,31.99,0.32,6.56
2015-09,0.0,0.0,0.0,0.0,440.0,22.22,0.22,4.18
2015-10,0.0,0.0,0.0,0.0,430.0,14.7,0.15,3.0
2015-11,0.0,0.0,0.0,0.0,473.0,12.4,0.13,3.67
2015-12,0.0,0.0,0.0,0.0,344.0,5.82,0.06,2.22
2016-01,0.0,0.0,0.0,0.0,424.0,6.27,0.06,2.49
2016-02,0.0,0.0,0.0,0.0,440.0,4.46,0.04,1.56
2016-03,0.0,0.0,0.0,0.0,368.0,9.16,0.09,2.55
2016-04,0.0,0.0,0.0,0.0,440.0,17.51,0.18,3.8
2016-05,0.0,0.0,0.0,0.0,393.0,6.32,0.06,1.31
2016-06,0.0,0.0,0.0,0.0,512.0,16.53,0.17,2.98
2016-07,0.0,0.0,0.0,0.0,407.0,14.15,0.14,2.57
2016-08,0.0,0.0,0.0,22.0,485.0,22.14,0.22,3.81
2016-09,0.0,0.0,0.0,0.0,356.0,14.5,0.15,2.82
2016-10,0.0,0.0,0.0,0.0,415.0,11.53,0.12,2.36
2016-11,0.0,0.0,0.0,0.0,391.0,7.12,0.07,1.75
2016-12,0.0,0.0,0.0,0.0,316.0,4.87,0.05,1.68
2017-01,0.0,0.0,0.0,0.0,434.0,10.07,0.1,3.55
2017-02,0.0,0.0,0.0,0.0,420.0,7.59,0.08,2.32
2017-03,0.0,0.0,0.0,28.0,377.0,14.5,0.15,3.8
2017-04,0.0,0.0,0.0,0.0,372.0,7.67,0.08,1.79
2017-05,0.0,0.0,0.0,0.0,444.0,11.33,0.11,2.43
2017-06,0.0,0.0,0.0,0.0,400.0,10.74,0.11,2.02
2017-07,0.0,0.0,0.0,0.0,440.0,17.08,0.17,3.16
2017-08,0.0,0.0,0.0,0.0,387.0,16.57,0.17,2.88
2017-09,0.0,0.0,0.0,0.0,396.0,13.43,0.14,2.69
2017-10,0.0,0.0,0.0,0.0,341.0,12.52,0.13,2.75
2017-11,0.0,0.0,0.0,0.0,344.0,8.33,0.08,1.89
2017-12,0.0,0.0,0.0,0.0,359.0,6.32,0.06,1.96
