year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,5649.48,17459.89,22203.02,4492.0,5296.25,5684.0,6168.75,7113.0
2001-02,5553.13,17364.71,22652.67,4644.0,5523.5,5722.5,5947.5,6576.0
2001-03,4885.47,16247.37,20174.87,3576.0,4714.0,5311.5,5523.5,6292.0
2001-04,6157.66,17710.85,25033.09,4650.0,6244.75,6557.5,6788.25,7268.0
2001-05,6102.35,17259.74,23334.73,3480.0,6201.0,6768.5,7009.5,7353.0
2001-06,5957.52,17478.55,22074.15,3910.0,5686.75,6488.5,7041.25,7396.0
2001-07,6212.59,17306.49,21725.06,3988.0,5983.75,6884.0,7277.5,7739.0
2001-08,6226.03,16838.51,21922.75,4092.0,6048.0,6734.0,7332.5,8099.0
2001-09,5740.74,16578.34,20374.48,3636.0,5491.0,6309.0,7016.5,7656.0
2001-10,6089.37,16826.24,20656.49,3871.0,5910.5,6538.0,7055.25,8219.0
2001-11,5520.69,15233.42,18063.02,2822.0,5185.0,5796.0,6400.75,7531.0
2001-12,5387.63,14654.44,17184.8,4336.0,5159.75,5583.5,6096.0,7304.0
2002-01,5431.17,15411.41,18125.6,3707.0,5188.5,5614.5,5976.0,7094.0
2002-02,5160.92,15006.19,16812.85,4024.0,4895.5,5403.0,5877.25,7111.0
2002-03,5312.0,13323.89,18319.16,4127.0,5203.0,5615.5,5979.5,6715.0
2002-04,5426.29,15811.0,18448.43,3413.0,4981.5,5748.0,6183.75,7371.0
2002-05,5581.55,15761.73,19638.79,3189.0,5042.0,5846.0,6551.5,8638.0
2002-06,5801.25,16107.07,20080.19,3060.0,4945.0,6558.0,7414.0,8581.0
2002-07,6300.04,16485.85,20031.32,3034.0,5848.75,6941.0,7628.0,8697.0
2002-08,6544.04,17959.42,20493.69,4107.0,6134.75,7128.5,8128.5,9046.0
2002-09,6492.07,17548.66,21335.76,4243.0,6040.25,6928.0,7817.25,9263.0
2002-10,5800.27,15058.06,18634.1,4079.0,5723.25,6258.5,6820.0,8291.0
2002-11,6271.98,17137.37,20447.63,4873.0,5967.0,6514.5,7093.5,8094.0
2002-12,6373.74,18024.22,20178.11,4877.0,6123.5,6557.0,7020.5,7874.0
2003-01,5622.63,17708.89,19049.43,4402.0,5189.75,5583.0,6167.5,6913.0
2003-02,5385.62,16177.38,17828.5,3825.0,5197.25,5648.0,5915.5,6640.0
2003-03,4853.31,13718.59,14998.01,3227.0,4516.75,5063.5,5631.25,6942.0
2003-04,5090.77,15327.49,16852.67,3749.0,4778.25,5224.0,5557.75,6237.0
2003-05,5385.08,15427.05,17601.84,2922.0,4373.5,5112.5,6158.25,9078.0
2003-06,6278.81,16432.2,19421.81,3603.0,5664.0,6706.5,7580.5,9979.0
2003-07,7683.23,18510.2,21728.12,5584.0,7518.75,8725.5,9679.75,11208.0
2003-08,7462.0,16173.87,20693.04,5018.0,7249.25,8614.0,9580.25,11006.0
2003-09,7122.82,15619.87,20744.81,5217.0,6719.75,8243.0,9326.25,10779.0
2003-10,6440.51,14407.33,18777.37,4475.0,6044.0,7249.5,8262.0,10240.0
2003-11,6207.38,14553.9,18627.6,5081.0,6028.0,6764.0,7287.5,8255.0
2003-12,6352.61,16055.94,19904.29,4791.0,6133.25,6647.5,7195.25,8305.0
2004-01,6509.02,15274.37,20064.31,5289.0,6320.75,6824.0,7257.0,8471.0
2004-02,5903.48,14391.62,16612.17,5110.0,5992.75,6419.0,6812.5,7985.0
2004-03,5881.35,14815.97,16657.32,4706.0,5740.25,6413.5,6980.0,8481.0
