year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,5676.48,628.46,5728.63,4619.0,8096.0,9750.0,11289.25,13040.0
2001-02,5662.11,876.75,5565.27,5456.0,8212.5,9833.0,10972.0,12217.0
2001-03,5959.45,676.34,5728.21,6350.0,8915.0,10510.5,11559.0,12665.0
2001-04,5397.3,660.9,5247.05,6031.0,7663.5,9307.0,10604.5,12311.0
2001-05,5517.33,745.44,3901.43,5426.0,7665.25,9575.0,10801.25,13553.0
2001-06,5505.6,730.89,3558.3,5058.0,7344.5,9370.0,10721.75,14751.0
2001-07,6478.18,536.48,4190.28,5635.0,8417.0,11028.0,12922.5,17452.0
2001-08,6857.91,79.16,4310.82,5410.0,8172.75,12120.0,14456.0,17551.0
2001-09,5971.42,71.36,3799.39,4614.0,6937.0,10601.5,12515.5,15531.0
2001-10,4964.75,71.32,3599.01,3756.0,5857.5,9037.5,10373.25,15239.0
2001-11,3838.2,61.34,3130.45,2710.0,4412.75,6602.0,8435.5,10252.0
2001-12,3761.98,43.04,2927.56,2475.0,4246.0,5793.0,8340.5,10937.0
2002-01,2829.88,40.35,1461.31,2161.0,3491.75,4659.0,5611.5,8224.0
2002-02,2742.23,86.96,1402.4,2607.0,3553.25,4569.5,5516.0,7048.0
2002-03,3716.21,44.34,1689.57,3209.0,4738.25,6409.5,7734.5,9920.0
2002-04,2269.63,59.09,2210.23,1474.0,2600.0,3489.5,4833.75,7485.0
2002-05,2461.57,27.19,2225.73,1088.0,2645.5,3631.5,4856.0,11218.0
2002-06,3919.1,40.95,3500.2,2105.0,3578.25,6239.5,8275.75,15888.0
2002-07,5515.82,51.37,3858.42,3102.0,4999.25,8687.0,12327.5,18744.0
2002-08,4962.32,45.97,2938.26,3273.0,5255.5,8038.5,10156.0,17970.0
2002-09,4661.12,49.9,2951.18,2990.0,4546.75,7032.5,10153.5,16742.0
2002-10,3286.17,31.59,2511.28,2224.0,3539.0,5223.0,6852.5,11936.0
2002-11,3131.69,30.45,2293.13,2136.0,3462.0,5026.5,6432.0,9479.0
