year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,5453.81,21609.98,17926.92,4420.0,4980.0,5286.5,5480.25,5788.0
2001-02,5286.11,22013.01,17402.57,4242.0,4945.0,5202.0,5457.25,5929.0
2001-03,4838.3,20641.34,15946.35,3811.0,4558.75,4848.0,5039.5,5725.0
2001-04,4789.63,20970.89,15312.18,3868.0,4437.5,4734.0,4969.5,5386.0
2001-05,5322.77,21986.1,16752.48,4138.0,4749.75,5022.0,5261.0,5988.0
2001-06,5324.02,21758.59,16391.06,4191.0,4894.0,5253.5,5523.5,6237.0
2001-07,5473.74,21597.35,17322.29,4054.0,4973.75,5364.0,5738.25,6338.0
2001-08,5422.28,21034.14,17194.44,4216.0,4984.5,5295.5,5615.0,6264.0
2001-09,4860.6,18398.34,15353.33,3797.0,4457.0,4799.0,5184.5,6194.0
2001-10,4415.63,15719.45,13860.85,3536.0,4314.5,4557.5,4747.25,5437.0
2001-11,4982.37,20765.02,16344.96,3743.0,4688.25,4999.0,5243.0,6074.0
2001-12,5253.06,21267.97,16743.07,4423.0,4984.25,5184.5,5429.0,6187.0
2002-01,5256.74,21568.52,16666.34,4450.0,5002.75,5228.0,5396.25,6061.0
2002-02,4909.92,20332.52,16355.2,3929.0,4634.0,4904.0,5099.75,5628.0
2002-03,4448.87,16126.67,14758.35,3580.0,4305.0,4555.0,4871.5,5405.0
2002-04,4644.48,18114.8,15477.01,3740.0,4322.75,4645.5,5028.25,5578.0
2002-05,5003.62,20264.02,16640.79,4070.0,4602.75,4986.0,5307.5,6300.0
2002-06,5327.64,21454.19,17637.63,3963.0,4768.0,5364.0,5775.25,6532.0
2002-07,5606.26,21246.71,17901.51,4241.0,5068.0,5741.0,6282.0,6928.0
2002-08,5351.28,21447.18,17133.92,4003.0,4833.5,5348.5,5836.0,6703.0
2002-09,4940.21,18351.79,15522.17,3665.0,4486.0,4934.5,5227.0,6505.0
2002-10,5079.73,19564.98,16282.1,4067.0,4727.75,5099.5,5386.75,6065.0
2002-11,5058.63,21359.65,17063.89,4019.0,4668.5,5019.0,5282.0,6041.0
2002-12,5325.78,20486.57,17596.09,4318.0,5022.75,5308.0,5601.0,6321.0
2003-01,5179.34,16592.68,17345.07,4489.0,4956.25,5285.0,5541.0,6018.0
2003-02,5102.47,18261.37,17166.95,4057.0,4839.25,5115.0,5432.0,6093.0
2003-03,4797.37,17388.76,16336.33,3769.0,4444.75,4733.5,5105.0,5894.0
2003-04,4822.77,16566.35,16163.03,3782.0,4412.75,4745.5,5007.5,5513.0
2003-05,4915.62,16805.84,15072.44,3847.0,4445.75,4853.0,5128.75,6754.0
2003-06,5169.66,17261.7,16105.7,3765.0,4593.0,5108.5,5482.25,6599.0
2003-07,5949.93,18832.64,18368.21,4619.0,5420.25,6227.5,6822.0,7694.0
2003-08,5761.71,17746.74,17592.57,4200.0,5200.0,5845.5,6549.25,7579.0
2003-09,4959.83,14286.09,15262.11,3935.0,4570.75,4986.5,5380.0,6726.0
2003-10,4914.72,15259.66,15196.82,3767.0,4418.0,4860.5,5152.25,5742.0
2003-11,5252.06,16021.28,15853.66,4204.0,4953.5,5300.5,5617.0,6291.0
2003-12,5490.49,15393.0,16394.57,4551.0,5216.5,5538.0,5842.5,6724.0
2004-01,5397.6,14186.9,16509.93,4555.0,5217.0,5504.0,5779.25,6535.0
2004-02,5358.93,15601.21,16556.04,4382.0,5132.0,5393.5,5734.25,6381.0
2004-03,4940.07,14794.97,14595.47,4080.0,4733.5,5045.0,5267.0,5834.0
2004-04,4621.68,12496.69,13239.24,4065.0,4579.75,4888.5,5065.25,5405.0
2004-05,4836.55,12812.78,14092.32,4000.0,4619.0,4999.0,5357.0,5961.0
2004-06,5072.74,13280.04,15149.64,3928.0,4755.75,5073.0,5418.25,6558.0
2004-07,5603.58,13879.03,15736.27,4302.0,5305.75,5815.0,6377.75,8179.0
