year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,94.28,0.19,48.5,76.0,157.0,158.0,160.0,166.0
2001-02,90.73,0.28,46.7,75.0,155.0,158.0,161.0,172.0
2001-03,69.18,0.46,34.53,52.0,76.0,78.0,151.0,161.0
2001-04,99.67,1.0,64.36,69.0,147.0,152.0,155.0,161.0
2001-05,84.46,0.86,50.3,0.0,138.25,144.0,149.0,160.0
2001-06,71.73,0.72,44.05,0.0,142.0,146.0,149.0,156.0
2001-07,85.19,0.84,38.05,0.0,138.0,143.0,147.0,165.0
2001-08,67.42,0.03,29.77,1.0,136.0,141.0,145.0,153.0
2001-09,126.17,0.66,45.11,2.0,148.0,234.0,299.0,332.0
2001-10,159.2,1.02,53.49,0.0,239.0,308.0,319.0,347.0
2001-11,72.16,0.68,17.0,0.0,162.0,165.0,168.0,320.0
2001-12,84.04,0.76,70.06,0.0,115.0,167.0,228.0,404.0
2002-01,59.78,0.58,23.0,0.0,163.0,168.0,170.0,265.0
2002-02,105.17,1.01,26.97,20.0,166.0,169.0,172.0,297.0
2002-03,126.56,1.23,47.43,24.0,165.0,171.0,261.0,440.0
2002-04,26.82,0.26,9.55,0.0,160.0,165.0,170.0,205.0
2002-05,4.76,0.01,7.52,0.0,0.0,36.0,41.75,166.0
2002-06,9.22,0.02,10.5,0.0,24.0,42.0,82.0,173.0
2002-07,36.8,0.19,30.69,0.0,80.0,84.0,191.5,321.0
2002-08,39.14,0.38,12.54,3.0,149.0,156.0,162.0,324.0
2002-09,73.05,0.73,17.88,8.0,155.0,158.0,161.75,202.0
2002-10,83.06,0.78,23.97,0.0,159.0,164.0,172.0,286.0
2002-11,72.93,0.7,17.58,8.0,164.0,168.0,172.0,243.0
2002-12,86.24,0.83,20.26,0.0,165.0,167.0,168.0,252.0
2003-01,69.16,0.67,16.8,1.0,166.0,168.0,170.0,254.0
2003-02,83.47,0.8,19.17,15.0,164.0,167.0,170.0,276.0
2003-03,56.26,0.55,12.6,11.0,161.0,163.0,166.0,212.0
2003-04,13.56,0.13,4.41,0.0,160.0,163.0,165.0,166.0
2003-05,3.54,0.0,5.91,0.0,4.0,27.0,80.0,85.0
2003-06,13.23,0.08,10.78,0.0,43.0,85.0,147.0,183.0
2003-07,127.92,0.98,54.3,0.0,155.0,164.0,245.0,396.0
2003-08,76.73,0.69,29.39,0.0,145.0,154.0,166.0,322.0
2003-09,81.01,0.81,19.53,6.0,152.0,156.0,160.0,256.0
2003-10,53.92,0.53,16.91,0.0,149.0,158.0,161.0,182.0
