year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-01,35958.56,39840.24,42778.91,44499.88,47196.0,38732.0,117429.48,129616.73
2001-02,36603.0,40992.25,43342.5,45035.19,47630.65,39246.66,124003.6,131492.54
2001-03,33485.0,38444.07,40591.12,42678.14,45732.52,36162.87,116213.55,118103.92
2001-04,31920.0,36310.04,38709.0,41090.75,43141.0,34816.82,104665.92,116277.14
2001-05,31013.44,37876.75,40746.6,43426.85,47351.0,36792.92,109089.6,119868.95
2001-06,30972.0,38038.31,41597.88,44434.36,50468.25,37617.76,113474.2,121513.42
2001-07,35654.0,41743.2,46463.38,49253.82,53305.2,41359.53,123435.88,129994.26
2001-08,36143.0,41304.3,47013.66,50476.81,55479.74,41337.84,123026.73,127348.0
2001-09,32289.5,37633.11,43231.25,46829.06,53553.0,38286.18,116865.37,118678.13
2001-10,31497.75,37001.77,42183.98,44996.46,50987.5,37397.87,113453.44,120618.87
2001-11,29462.05,35630.77,39361.54,41910.08,45897.05,36416.88,111774.1,121664.98
2001-12,32340.86,35861.54,38086.25,41052.44,46815.65,36400.68,109009.67,120916.24
2002-01,30133.0,34393.69,36686.1,38489.39,42742.32,34900.73,107984.4,116714.87
2002-02,31348.2,34071.49,36041.7,37874.38,41536.0,34098.35,104581.54,113268.16
2002-03,29907.27,34747.68,37484.72,39517.89,42984.25,34465.26,100714.11,113056.75
2002-04,23231.0,29596.41,31946.5,34517.17,38574.1,31002.68,86123.42,107308.96
2002-05,22110.0,30271.38,32974.06,35636.87,46769.5,32123.32,90040.88,111283.48
2002-06,22447.0,29754.5,35734.63,40177.16,49809.68,32925.56,91777.66,110077.51
2002-07,24853.14,35169.88,41540.8,47767.97,56975.11,37813.78,97137.38,118648.65
2002-08,32225.75,38154.62,43247.04,47087.14,58201.47,39267.63,99431.62,123414.26
2002-09,32559.0,37628.64,41884.15,46746.64,56778.68,38620.4,95561.66,123144.37
2002-10,31711.98,35175.28,38934.5,41326.56,47998.24,35445.52,88969.8,116806.72
2002-11,31380.58,35109.42,37726.43,40762.09,44556.5,35665.02,95596.42,118037.89
2002-12,32211.44,36533.62,39079.46,41674.84,46681.29,36731.84,99300.42,119251.78
2003-01,32029.5,36063.35,38696.83,41125.51,44330.0,36721.08,97041.42,122252.9
2003-02,29604.0,35328.4,38202.34,40313.1,43421.22,35487.14,94280.28,117132.56
2003-03,27248.43,32837.66,35749.8,37786.17,42047.75,33028.02,94845.62,105536.32
2003-04,24528.35,29140.88,31500.88,33897.39,38182.72,30417.92,82964.43,100003.76
2003-05,23778.0,28899.56,31257.57,33836.56,49257.7,31322.07,81099.69,103736.33
2003-06,24756.78,32834.41,36256.34,39659.52,51889.69,34950.89,91364.65,112268.62
2003-07,33973.0,42078.16,48276.98,54183.76,63312.19,43303.81,99905.7,130017.32
2003-08,36444.97,41301.26,47025.23,51942.22,60446.25,41997.01,94890.02,128059.15
2003-09,33651.0,38941.29,44171.38,48063.69,58088.18,39107.3,87849.23,119053.45
2003-10,31678.0,36618.78,41526.18,44877.92,52759.55,37372.16,86351.11,113862.74
2003-11,32547.0,36573.35,39062.12,41452.96,45752.94,36502.45,92129.4,117298.65
2003-12,32370.0,36892.23,39442.76,41700.14,47700.75,37128.17,95639.4,118241.82
2004-01,34060.0,37451.34,39603.2,41860.82,47087.89,36999.3,88442.81,115197.28
2004-02,33911.0,37720.41,40221.89,42367.5,46076.3,36596.1,88844.32,110428.67
2004-03,31037.81,35559.77,38371.94,41409.85,46636.01,35142.38,87720.79,105436.98
2004-04,29491.0,34175.78,36974.38,39082.88,48760.56,33527.07,75041.92,98518.75
2004-05,25212.23,33167.35,36500.96,39553.86,50652.75,33367.7,75355.72,100076.88
2004-06,27187.58,36221.54,40466.52,44771.5,52067.88,37196.79,85125.85,114035.16
2004-07,31826.92,41959.79,46771.72,52563.18,65156.46,41177.99,80813.69,114300.84
2004-08,36538.0,43161.14,48649.23,52824.41,64240.5,42292.48,88647.06,120754.47
2004-09,34968.85,40833.62,45726.8,50372.08,63811.25,41003.31,85771.58,117628.71
2004-10,34586.0,38616.01,42788.88,45274.84,52391.91,38100.81,83501.19,114212.18
2004-11,36046.02,40355.04,43716.12,46082.75,52755.75,38672.44,85555.05,115475.04
2004-12,34714.0,39871.17,42784.5,45356.71,50739.5,38995.72,88942.5,118285.92
2005-01,34608.0,39794.76,42982.14,45555.12,51535.01,38198.32,88442.75,116540.5
2005-02,35659.94,39395.86,41910.88,43879.22,46913.44,36591.36,84508.62,111144.46
2005-03,32099.36,36415.7,39305.92,41465.13,44650.69,34763.1,83190.2,105817.25
2005-04,30526.16,35546.07,38620.88,41278.36,45640.75,33726.98,71380.09,102193.45
2005-05,27207.0,31726.97,35622.88,38874.38,50245.0,32415.15,68513.41,100616.35
2005-06,30199.05,35994.2,40178.74,44736.85,56664.97,37177.64,81443.13,114760.94
2005-07,34284.51,43710.64,50387.35,59989.46,72593.56,43308.14,81757.73,118776.65
2005-08,38781.0,45698.82,52468.62,59383.08,69472.01,43527.84,85552.01,121668.32
2005-09,36536.46,42497.29,47232.98,51396.51,62464.0,39798.36,80755.7,116372.8
2005-10,35772.0,40984.57,45025.9,48091.39,54435.66,38332.99,78613.27,112493.15
2005-11,37180.5,41379.41,44906.06,48587.1,54470.04,38244.04,78945.44,111008.78
2005-12,33759.0,42799.81,46521.6,51444.12,58291.87,39564.0,79167.06,114257.54
2006-01,30707.0,36725.67,40477.88,43685.75,48036.98,35516.64,66852.8,107287.45
2006-02,32421.0,37815.1,41287.54,43763.5,48540.17,35248.94,71558.87,103102.21
2006-03,32091.45,37169.62,40783.82,42821.08,48419.0,35161.41,66860.92,103798.05
2006-04,23004.0,29523.91,33647.18,37129.69,43399.42,29419.33,54210.62,87495.22
2006-05,20589.27,28980.03,35731.4,40979.47,51805.43,30685.03,54049.07,89876.48
2006-06,25172.1,34313.3,43642.67,50324.68,67638.01,35667.85,62100.84,97167.88
2006-07,37659.63,48766.07,57056.4,64539.46,80132.87,45034.84,75141.78,114633.49
2006-08,41129.76,46820.67,54562.15,59502.61,70875.39,43234.3,78470.91,114080.99
2006-09,38456.49,44972.39,50786.34,55725.49,70562.0,41073.42,75393.03,108478.33
2006-10,38799.18,44458.71,49496.31,52394.26,58159.23,38971.85,66463.67,105896.41
2006-11,36246.18,42501.22,46595.04,50353.2,60131.87,38749.1,73914.86,114135.76
2006-12,38551.23,44468.6,47447.4,50630.84,57021.5,39188.76,73640.94,113811.44
2007-01,38302.9,44341.74,47635.99,49823.26,56741.25,39026.81,71820.14,113663.78
2007-02,36217.4,42417.73,46040.18,48791.52,52530.37,37825.77,70447.73,111464.33
2007-03,26762.64,35833.3,40331.6,42975.15,49114.66,34374.31,65283.44,105601.77
2007-04,26473.5,34150.86,38862.56,42586.35,51010.56,32080.79,61979.72,92005.55
2007-05,29257.19,35748.19,42027.0,46749.73,54018.46,33957.92,63367.75,93686.2
2007-06,32983.57,43704.02,49576.76,57428.82,68314.57,40370.26,69348.08,107705.74
2007-07,42546.0,49791.54,59313.88,65760.8,79839.0,45466.14,71559.76,112968.36
2007-08,42441.92,52263.92,60187.75,68054.97,80273.92,46573.62,72013.35,112200.17
2007-09,41315.87,49112.44,54602.15,59555.67,77144.26,42740.87,63819.37,106699.63
2007-10,39710.48,46806.19,51648.21,55495.02,63347.94,39877.2,62948.14,101758.03
2007-11,38830.87,45954.97,50706.78,54504.58,61656.37,39947.02,67764.73,102912.72
2007-12,44322.0,49080.77,52576.21,55938.0,63456.35,41416.25,72160.92,103827.94
2008-01,41504.0,49071.19,52754.33,55703.81,62266.22,41028.93,71135.42,103417.57
2008-02,41257.55,46547.86,49411.93,51186.61,58679.86,38946.34,70506.45,99595.91
2008-03,38138.61,42744.44,46487.04,48372.36,52941.5,36719.75,68877.12,97772.54
2008-04,37808.0,43820.93,47855.86,50580.22,55376.97,35981.74,56772.22,86130.43
2008-05,24972.52,35769.2,41006.98,45727.08,65222.39,33311.39,51856.11,85205.68
2008-06,26893.48,36737.12,44454.84,53042.32,71788.96,36693.88,57861.08,92610.04
2008-07,35155.43,47769.44,56738.91,63756.53,73639.14,43563.25,64786.07,105400.24
2008-08,43662.34,52116.07,60539.28,67101.93,75942.43,45836.06,64070.08,104953.88
2008-09,40569.84,49188.94,56590.96,63301.12,75215.75,43342.47,58811.42,100675.57
2008-10,39427.4,45997.68,52390.22,57221.44,71797.26,40314.45,55698.87,95757.56
2008-11,39473.65,44567.06,49478.34,53095.9,59482.65,39113.47,59760.07,94122.67
2008-12,40991.75,48927.4,52938.3,55786.23,68632.82,41425.38,65998.92,98267.84
2009-01,39976.0,45303.8,49235.39,52046.61,58710.46,39235.17,62821.05,98592.02
2009-02,38111.0,46751.84,49862.83,53113.21,56596.0,38381.52,61916.93,92709.21
2009-03,32791.95,40568.15,44971.8,48936.72,54783.9,34942.28,53543.63,82118.65
2009-04,22284.08,32733.92,37775.38,40935.06,54230.72,29165.37,39943.43,68270.65
2009-05,25752.12,33983.68,39422.55,44712.27,59901.96,30816.68,41619.97,72747.09
2009-06,22609.69,32222.71,39109.1,45492.12,69306.65,31294.86,45564.64,73035.74
2009-07,37060.23,49239.06,57161.24,65764.04,80221.93,42620.36,53392.41,88801.95
2009-08,40946.34,50339.64,59277.1,66146.27,79201.58,43781.58,56056.56,92007.39
2009-09,39658.0,48329.73,56999.8,63772.07,79480.7,42201.02,53658.79,85875.37
2009-10,37861.36,44748.46,50972.7,53680.14,61331.54,38699.87,58864.03,86162.27
2009-11,37916.15,44078.5,48995.45,52657.26,59230.84,38448.54,59524.96,89026.6
2009-12,41706.9,48962.2,52728.99,55815.7,68621.9,41281.05,60665.06,94877.17
2010-01,39960.0,45312.84,49024.76,51979.44,56490.23,39220.15,57517.38,91199.3
2010-02,39178.22,44971.39,49202.26,51576.44,54746.95,37702.29,57977.5,85976.85
2010-03,36454.85,43483.32,47711.91,50346.32,55554.0,36006.22,52604.2,78529.7
2010-04,32422.0,39958.27,44131.04,48079.16,53445.55,33807.81,50069.79,75913.62
2010-05,26453.99,34277.57,38752.77,42610.45,47911.17,31777.48,44830.08,76206.53
2010-06,23263.51,31492.33,39172.76,46149.42,63922.82,32197.71,46672.98,74904.22
2010-07,29841.49,45420.53,53516.2,62453.72,78945.7,41556.85,54969.71,86995.56
2010-08,38727.55,48316.5,56866.4,64481.83,80475.62,43188.08,55401.97,87075.07
2010-09,38857.06,45991.92,54622.09,60303.39,77868.57,41267.31,53631.48,85887.92
2010-10,37269.15,44514.56,49614.91,53146.44,66896.58,37464.86,50383.6,77014.24
2010-11,37649.93,43750.72,47486.78,51411.74,59507.15,37036.02,53196.84,79678.76
2010-12,36356.0,43464.05,47578.51,50733.44,57459.13,37882.76,57779.31,83442.92
2011-01,29607.17,39099.93,43759.6,47162.49,58378.54,35837.19,54859.51,81780.22
2011-02,29825.39,36815.01,41217.02,44253.86,55233.35,33183.52,52082.09,73391.3
2011-03,24649.22,31670.62,35162.89,37711.6,45312.66,29275.43,47564.11,66519.04
2011-04,21986.46,27035.61,32248.01,35915.13,40454.02,25909.9,37006.75,57131.3
2011-05,19084.21,25277.27,30566.17,34144.26,46038.27,25747.05,33749.91,57916.65
2011-06,21347.68,28294.21,35534.66,41570.41,61607.72,30105.55,41809.45,66506.11
2011-07,26573.64,35702.34,46216.22,55236.95,70200.73,36433.35,48012.94,76496.89
2011-08,33472.27,43633.0,54068.08,62327.41,78812.65,42089.07,52906.76,84440.57
