year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,2464.3,5420.86,9639.82,1381.0,2271.25,2435.5,2444.0,2459.0
2001-02,2541.52,5904.3,10020.9,1740.0,2236.5,2411.5,2425.0,2446.0
2001-03,2243.98,6282.47,8664.21,781.0,1659.0,2213.5,2418.0,2433.0
2001-04,1752.23,5271.07,6565.39,785.0,1565.0,1605.0,1631.25,1663.0
2001-05,1872.24,4450.19,7525.81,576.0,1488.0,1611.0,1966.0,2300.0
2001-06,1699.78,3438.16,6683.95,738.0,1169.0,1385.5,1968.0,2004.0
2001-07,2448.96,5621.91,9518.78,1211.0,2257.75,2340.5,2411.0,2455.0
2001-08,2608.83,6021.52,9731.58,160.0,2345.0,2423.0,2439.0,2466.0
2001-09,2455.15,5372.56,9320.03,185.0,2105.0,2357.0,2400.0,2454.0
2001-10,2642.84,6816.7,10389.67,1635.0,2431.75,2458.5,2467.0,2481.0
2001-11,2554.5,6287.26,10096.85,1494.0,2236.25,2428.0,2458.0,2482.0
2001-12,2476.2,5942.23,9873.76,1467.0,1656.0,2399.5,2447.0,2472.0
2002-01,1763.23,5489.46,6772.98,759.0,1531.0,1652.0,1661.0,2463.0
2002-02,2199.97,5121.15,8646.75,1523.0,1640.0,2133.5,2437.0,2469.0
2002-03,2542.59,6038.1,10108.14,1375.0,2266.75,2284.0,2299.0,2459.0
2002-04,2418.18,5709.17,9532.2,705.0,2149.75,2247.0,2288.0,2390.0
2002-05,2085.66,4036.71,8245.28,874.0,1927.5,2087.5,2157.0,2252.0
2002-06,1114.67,2363.32,4174.56,421.0,702.0,939.0,1240.25,2097.0
2002-07,1509.25,3550.09,5573.69,483.0,944.5,1313.0,1627.0,2440.0
2002-08,2507.26,5260.34,9723.44,1947.0,2379.75,2441.0,2465.0,2500.0
2002-09,2322.95,5038.36,9143.85,538.0,2103.0,2363.0,2454.0,2495.0
2002-10,2206.85,4267.83,8595.87,1232.0,1711.0,2254.0,2397.0,2435.0
2002-11,2237.9,4946.48,8676.43,1558.0,1672.0,2300.0,2445.0,2475.0
2002-12,1846.23,4771.33,7095.52,1562.0,1663.75,1671.0,1676.0,1686.0
2003-01,2246.06,5056.52,8436.95,1206.0,1671.0,2363.5,2467.0,2489.0
2003-02,2501.62,5163.97,9674.17,1434.0,2399.25,2449.0,2464.0,2481.0
2003-03,2217.7,4567.13,8458.14,983.0,1639.0,2217.5,2411.0,2460.0
2003-04,1434.38,3552.61,5394.84,484.0,1015.75,1498.0,1607.25,1656.0
2003-05,1871.47,3763.79,7045.89,1088.0,1550.75,1647.0,2014.25,2144.0
2003-06,2124.61,3341.7,8119.56,1374.0,1783.0,2063.5,2130.25,2460.0
2003-07,2406.7,5002.14,9111.31,452.0,2237.0,2417.0,2434.0,2465.0
2003-08,2453.29,4970.28,9198.15,863.0,2278.0,2416.0,2431.0,2461.0
2003-09,2514.1,5176.72,9426.88,1617.0,2386.0,2430.0,2441.0,2459.0
2003-10,2411.99,4999.14,9203.11,163.0,2362.0,2419.0,2434.0,2462.0
2003-11,2232.07,5311.81,8166.9,1568.0,2017.0,2121.5,2141.25,2454.0
2003-12,2452.33,4998.77,9017.57,1635.0,2290.5,2348.0,2391.25,2464.0
2004-01,2488.76,4811.32,9440.69,1968.0,2342.0,2426.0,2439.0,2487.0
2004-02,2508.86,5164.34,9304.47,1540.0,2380.75,2430.0,2440.0,2498.0
2004-03,2554.98,5307.67,9556.12,2025.0,2408.0,2419.0,2428.0,2457.0
2004-04,1933.02,4402.61,6916.94,1185.0,1644.0,1657.0,2091.0,2459.0
2004-05,1666.48,3909.49,5921.65,677.0,1532.0,1597.5,1637.0,1659.0
2004-06,1735.22,3326.17,6354.95,602.0,1379.0,1496.0,1892.0,2253.0
2004-07,2202.5,4554.43,7979.72,840.0,1626.75,2094.0,2375.0,2440.0
2004-08,2289.38,4347.81,8574.04,1481.0,1922.0,2347.5,2424.0,2457.0
2004-09,2280.22,4437.68,8306.66,802.0,2061.0,2376.0,2421.0,2453.0
2004-10,2402.98,5122.91,9175.38,1639.0,2186.75,2426.0,2436.0,2474.0
2004-11,2383.58,5116.03,8895.1,1604.0,2155.0,2407.0,2422.0,2445.0
2004-12,2540.9,5096.33,9590.47,1319.0,2345.75,2416.5,2431.0,2470.0
2005-01,2509.44,5267.38,9429.96,1517.0,2280.75,2396.0,2420.0,2460.0
2005-02,2444.5,5110.6,9155.46,1322.0,2106.75,2417.0,2427.0,2467.0
2005-03,2144.98,5122.07,8134.27,1179.0,1646.75,2297.0,2418.0,2452.0
2005-04,2224.8,3856.08,8492.76,1084.0,2051.75,2189.0,2225.0,2436.0
2005-05,2048.55,2799.19,7994.05,1094.0,1867.0,1913.0,1932.0,2165.0
2005-06,2149.75,3654.91,8256.64,1185.0,1763.75,1931.0,2206.5,2411.0
2005-07,2620.83,4915.91,9726.17,1387.0,2367.75,2385.0,2400.0,2424.0
2005-08,2461.64,4282.14,9388.9,853.0,2070.75,2378.0,2401.0,2439.0
2005-09,2502.66,4257.48,9441.78,1325.0,2203.5,2282.0,2346.0,2447.0
2005-10,2412.98,4062.79,8732.38,671.0,2034.0,2255.5,2354.0,2407.0
2005-11,2563.87,4895.88,9499.37,1994.0,2226.75,2354.0,2402.25,2451.0
2005-12,2640.52,4484.22,9554.77,1747.0,2333.0,2407.0,2412.0,2461.0
2006-01,2431.2,4400.36,8827.75,1475.0,2031.75,2226.5,2379.0,2431.0
2006-02,2590.21,5304.92,9357.79,1426.0,2355.75,2384.0,2391.0,2425.0
2006-03,2526.97,4591.25,9381.55,1540.0,2097.0,2343.0,2403.0,2427.0
2006-04,2232.66,3910.5,7762.61,824.0,1498.75,2146.0,2367.0,2425.0
2006-05,1698.41,3079.35,5796.39,713.0,1272.0,1550.0,1598.0,2402.0
2006-06,1555.63,2906.24,5002.27,584.0,920.0,1321.0,1555.25,2477.0
2006-07,2598.42,4891.37,8005.26,351.0,2197.0,2477.0,2517.0,2581.0
2006-08,2855.61,5013.42,9323.92,1712.0,2484.0,2506.0,2522.0,2562.0
2006-09,2260.45,3469.34,7683.23,1058.0,1874.75,2054.0,2196.0,2449.0
2006-10,2376.61,3919.94,8640.76,1095.0,2020.5,2115.0,2216.0,2482.0
2006-11,2827.24,5873.1,13287.26,2034.0,2462.0,2519.0,2549.0,2569.0
2006-12,2680.76,5528.02,13752.86,524.0,2405.75,2541.0,2566.0,2593.0
