year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,4302.43,17340.59,20572.24,3226.0,3705.5,4288.0,4469.0,4897.0
2001-02,4259.9,16866.91,20296.5,2902.0,4046.5,4334.5,4509.0,4863.0
2001-03,3611.86,13092.84,16527.69,2696.0,3369.0,3506.0,4002.0,4506.0
2001-04,3600.41,11754.31,16495.22,2584.0,3486.75,3782.5,3984.0,4576.0
2001-05,4382.14,16096.69,19986.62,3425.0,4208.75,4446.0,4613.25,5021.0
2001-06,4437.84,14806.79,20689.59,2965.0,4084.75,4510.5,4855.25,5265.0
2001-07,4673.64,15614.72,21297.99,3275.0,4425.0,4676.5,4981.5,5304.0
2001-08,4050.46,13903.35,18793.51,2994.0,3797.25,4073.5,4366.0,5185.0
2001-09,3923.26,13733.13,17885.47,2844.0,3511.5,3782.0,4038.0,4710.0
2001-10,3970.09,14106.35,18721.32,3005.0,3548.75,3835.0,4091.25,4751.0
2001-11,3715.92,11188.46,17708.61,2022.0,3380.75,3644.5,3916.0,4265.0
2001-12,4130.82,11977.88,19370.73,3197.0,3907.5,4085.5,4187.0,4472.0
2002-01,3489.37,10250.88,16493.36,1993.0,3238.5,3501.5,3596.25,4103.0
2002-02,3464.91,10206.39,16337.62,2325.0,3306.0,3523.0,3671.25,4040.0
2002-03,3697.67,11753.42,17627.99,2781.0,3535.0,3650.0,3743.25,4034.0
2002-04,3873.61,11612.67,17639.77,2415.0,3559.25,3772.0,3982.0,4671.0
2002-05,3938.22,11103.64,17839.72,2955.0,3435.75,3732.5,4096.75,5053.0
2002-06,4265.52,12657.59,19835.79,2851.0,4021.75,4424.5,4674.25,5110.0
2002-07,4128.64,13026.84,19143.13,2060.0,3960.0,4328.5,4646.25,5188.0
2002-08,4115.55,12574.42,18956.63,2432.0,4071.75,4389.0,4647.5,5213.0
2002-09,3923.49,11774.05,19019.04,2707.0,3779.5,4112.0,4430.25,5154.0
2002-10,3714.43,12293.36,18203.84,2937.0,3388.5,3836.5,4148.0,4833.0
2002-11,3618.23,11955.66,17233.54,2902.0,3271.75,3545.0,4091.75,4577.0
2002-12,3474.02,9923.98,16280.37,2559.0,3244.25,3503.0,3746.25,4380.0
2003-01,3893.14,11879.72,17826.64,2887.0,3806.0,4081.5,4296.0,4611.0
2003-02,3670.28,11782.14,17489.07,3162.0,3578.0,3755.5,4030.0,4593.0
