year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,2658.76,11652.11,10474.77,1780.0,2551.75,3069.5,3351.0,3718.0
2001-02,2881.68,12328.65,10600.69,2480.0,3172.5,3333.0,3444.0,3702.0
2001-03,2545.68,11251.52,9442.14,1465.0,2734.75,2943.5,3125.5,3388.0
2001-04,1819.56,7901.87,7744.82,1235.0,1877.75,2008.0,2113.0,3010.0
2001-05,2669.88,13516.64,10121.84,1734.0,2738.75,2996.0,3181.5,3564.0
2001-06,2865.7,14482.84,10944.29,1761.0,2887.0,3128.0,3420.75,3980.0
2001-07,2874.01,13172.26,10672.26,1532.0,2925.0,3260.0,3512.0,3879.0
2001-08,3029.03,14411.15,10931.87,2452.0,3160.5,3374.5,3565.75,3873.0
2001-09,2684.57,12858.22,9415.78,1917.0,2689.25,3043.0,3281.5,3653.0
2001-10,2888.83,13033.89,10339.53,2402.0,3040.0,3169.5,3295.0,3518.0
2001-11,2729.7,14191.34,10329.26,2233.0,2753.75,2939.5,3064.25,3368.0
2001-12,2570.34,10992.02,10231.87,1766.0,2368.75,2695.0,3054.25,3648.0
2002-01,2859.28,11882.89,11261.68,2084.0,3019.75,3213.5,3350.25,3584.0
2002-02,2821.72,11668.16,10615.42,2445.0,2998.75,3101.0,3190.5,3469.0
2002-03,2581.68,9924.53,9496.13,1816.0,2656.0,2977.0,3085.25,3298.0
2002-04,1904.03,6315.11,7816.25,1487.0,1934.0,2045.0,2162.25,2437.0
2002-05,2688.82,11941.06,10304.62,1873.0,2385.75,2779.5,3002.25,3628.0
2002-06,2858.82,12941.71,10899.81,1845.0,2726.75,3074.0,3352.5,3807.0
2002-07,3073.95,13626.16,11339.13,2124.0,2909.75,3299.0,3535.25,3952.0
2002-08,2841.83,11402.28,10765.02,1997.0,2929.75,3135.0,3340.25,3813.0
2002-09,2813.76,11375.2,10388.3,2617.0,2970.5,3095.5,3207.5,3688.0
2002-10,2606.51,9930.53,9729.79,2098.0,2565.0,2924.5,3100.25,3511.0
2002-11,2640.35,11025.44,9990.38,2133.0,2519.25,2951.0,3097.5,3421.0
2002-12,2886.65,12796.68,10303.0,2042.0,2912.5,3068.0,3157.0,3386.0
2003-01,2805.33,12898.97,10454.68,2211.0,2798.75,2938.5,3029.25,3364.0
2003-02,2374.65,10893.7,9190.31,941.0,2232.25,2746.0,2935.0,3279.0
2003-03,2322.03,15361.5,8770.95,1657.0,2449.75,2613.0,2725.25,2971.0
2003-04,1967.01,6186.65,6248.05,1123.0,1949.75,2129.0,2324.25,2734.0
2003-05,1676.52,4847.44,6396.61,954.0,1431.75,1695.0,1964.25,3351.0
2003-06,2947.26,12765.92,10260.14,1909.0,2798.75,3130.0,3414.5,3894.0
2003-07,3209.1,11949.24,10096.79,1840.0,3023.75,3378.0,3636.25,3984.0
2003-08,2898.78,11228.14,9597.43,2075.0,2950.25,3251.0,3647.0,4143.0
2003-09,2914.64,12023.49,10184.86,2184.0,3053.0,3267.0,3461.0,3894.0
2003-10,2930.24,11062.01,10025.66,1981.0,2969.0,3237.0,3477.75,3963.0
2003-11,2955.4,13346.65,10321.7,2427.0,3009.25,3153.5,3305.0,3707.0
2003-12,2884.63,13557.72,10428.09,2462.0,2901.5,3083.0,3253.25,3814.0
2004-01,2477.35,9405.86,8198.07,1332.0,2386.75,2672.0,3116.25,3509.0
2004-02,2730.8,9898.16,9321.74,1875.0,2879.5,3255.0,3436.5,4044.0
2004-03,2671.61,12313.77,9476.09,1879.0,2737.5,2974.0,3175.25,3698.0
2004-04,2042.6,7271.55,6357.46,930.0,1981.5,2235.5,2477.25,3171.0
2004-05,2845.75,13075.73,9554.08,1650.0,2788.5,3021.5,3179.5,3613.0
2004-06,3311.33,13975.24,10583.02,1844.0,3360.0,3690.5,4015.75,4749.0
2004-07,3144.09,10364.33,9450.24,2076.0,3214.75,3591.5,3883.0,4845.0
2004-08,3637.43,15137.98,11589.82,3002.0,3767.75,4148.5,4438.75,4867.0
2004-09,3499.05,15033.61,11411.78,2854.0,3490.0,3764.5,4124.25,4818.0
2004-10,3160.5,14202.77,9707.03,2585.0,3181.75,3399.5,3625.5,4212.0
2004-11,3597.05,15969.94,11358.31,3095.0,3561.0,3799.0,3976.0,4599.0
2004-12,3087.63,12344.11,9875.25,2596.0,3211.0,3405.5,3637.25,4216.0
2005-01,3232.03,13575.68,10303.27,2968.0,3446.0,3600.5,3742.0,4168.0
2005-02,2986.81,10491.14,9036.28,2496.0,3109.0,3469.0,3792.25,4166.0
2005-03,2921.98,12608.96,9591.17,1945.0,3059.5,3328.5,3540.5,4093.0
2005-04,2231.31,7500.82,6965.17,1778.0,2273.5,2438.0,2716.25,3294.0
2005-05,2774.77,11858.39,9408.01,2009.0,2696.0,3001.5,3344.25,4191.0
2005-06,3290.98,13473.34,10694.42,2336.0,3145.75,3389.5,3878.0,4493.0
2005-07,3486.47,13063.13,10693.21,2746.0,3453.75,3877.5,4286.0,4875.0
2005-08,3552.12,14518.85,10846.33,2980.0,3701.75,4000.5,4283.0,4658.0
2005-09,3321.69,11949.92,9972.66,2657.0,3455.25,3725.5,3998.5,4388.0
2005-10,3238.92,12446.63,10268.47,2515.0,3301.75,3562.0,3840.0,4227.0
2005-11,3138.38,11864.92,9835.28,2408.0,3109.75,3634.0,3853.25,4311.0
2005-12,3309.34,12495.34,10711.92,2152.0,3546.0,3806.5,3971.25,4331.0
2006-01,1928.93,2694.67,5084.36,1858.0,2207.75,2370.0,2588.0,3036.0
2006-02,1992.64,2672.77,4947.33,1940.0,2352.0,2499.0,2607.25,3159.0
2006-03,1704.38,2141.13,4066.93,1754.0,2141.75,2298.5,2451.25,2876.0
2006-04,1400.9,613.46,3097.81,1390.0,1743.0,1966.5,2145.0,2770.0
2006-05,1568.93,815.01,3615.06,1235.0,1714.0,1978.0,2280.75,3400.0
2006-06,2068.45,1439.4,4091.71,1696.0,2393.0,2877.0,3277.0,4235.0
2006-07,2356.45,2405.52,4476.11,2111.0,2915.0,3365.0,3803.5,4805.0
2006-08,2518.26,2367.16,5184.33,2626.0,3151.75,3591.5,3962.25,4444.0
