year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,874.54,3808.86,2374.94,511.0,924.75,1089.0,1096.0,1110.0
2001-02,918.82,4454.07,2749.66,486.0,1078.75,1088.0,1095.0,1112.0
2001-03,895.77,4727.19,2782.73,713.0,926.0,1070.0,1081.0,1100.0
2001-04,890.78,4712.32,2719.92,593.0,921.0,1051.5,1071.0,1093.0
2001-05,609.07,2309.98,1571.3,155.0,460.0,743.0,1059.0,1087.0
2001-06,705.24,2741.65,1751.94,158.0,479.0,1033.0,1047.0,1069.0
2001-07,946.12,4409.0,2893.98,733.0,1023.0,1036.0,1051.0,1387.0
2001-08,1058.12,4127.53,2782.13,626.0,1288.0,1342.5,1360.25,1389.0
2001-09,1077.6,4575.27,2752.55,1033.0,1222.0,1349.0,1364.0,1391.0
2001-10,1042.39,4495.59,2856.08,637.0,1216.75,1379.0,1393.0,1427.0
2001-11,933.59,4320.05,2459.35,442.0,1037.0,1171.5,1360.0,1421.0
2001-12,1099.57,4225.96,2856.66,1070.0,1336.0,1384.0,1407.0,1426.0
2002-01,1027.4,4051.34,2656.45,719.0,1149.75,1303.5,1364.25,1413.0
2002-02,1102.08,4470.31,2646.01,1022.0,1313.0,1333.0,1349.0,1388.0
2002-03,713.39,2385.24,1440.17,347.0,632.0,844.5,1211.25,1380.0
2002-04,514.21,2426.6,1334.23,0.0,269.25,791.5,1049.75,1107.0
2002-05,651.32,2520.37,1995.16,158.0,422.75,740.0,865.25,1182.0
2002-06,70.79,1.0,20.64,0.0,85.0,88.0,98.0,431.0
2002-07,367.99,1402.0,814.01,0.0,149.25,576.0,983.75,1378.0
2002-08,1128.35,3216.67,2228.05,874.0,1208.0,1370.5,1520.0,1681.0
2002-09,1231.72,3125.88,2581.16,1018.0,1480.75,1564.5,1648.0,1738.0
2002-10,1224.93,3219.88,2778.77,1061.0,1434.0,1538.5,1646.25,1727.0
2002-11,1156.81,3465.73,2928.04,633.0,1229.0,1525.0,1653.0,1745.0
2002-12,1241.71,3453.0,2816.93,1020.0,1492.5,1604.5,1721.0,1827.0
2003-01,1209.37,2899.58,2582.28,798.0,1458.5,1600.0,1725.0,1805.0
2003-02,1079.31,3206.97,2743.61,636.0,1327.0,1370.0,1388.0,1420.0
2003-03,952.68,3157.88,2649.92,344.0,900.75,1211.5,1320.0,1383.0
2003-04,791.63,3055.67,2609.4,503.0,734.0,880.0,897.0,1074.0
2003-05,714.2,2744.69,2317.86,226.0,723.0,732.0,772.0,899.0
2003-06,299.61,157.3,201.91,224.0,297.75,311.0,528.25,1385.0
2003-07,1251.1,3184.02,2648.58,1094.0,1469.0,1576.0,1766.25,1916.0
2003-08,1312.72,3438.83,2667.21,1131.0,1648.0,1741.5,1822.0,2031.0
2003-09,1383.27,3703.33,2845.74,1246.0,1766.0,1887.0,1943.0,2056.0
2003-10,1299.06,3566.79,2728.6,940.0,1487.0,1797.0,1942.25,2024.0
2003-11,1257.59,3677.66,2594.54,1211.0,1508.0,1620.0,1723.25,2065.0
2003-12,1060.02,3184.81,2467.57,467.0,1061.75,1379.5,1531.5,2037.0
2004-01,1253.63,3622.67,2790.19,937.0,1537.75,1598.0,1718.0,2046.0
2004-02,1290.34,4125.53,2464.7,1009.0,1621.0,1697.5,1726.25,1774.0
2004-03,1116.99,4000.04,2592.88,765.0,1266.25,1391.0,1449.25,1691.0
2004-04,1063.21,3935.99,2398.75,752.0,1201.75,1252.0,1403.0,1574.0
2004-05,362.88,3.59,93.0,0.0,463.0,679.0,810.75,865.0
2004-06,333.36,3.53,85.51,0.0,312.0,660.0,883.0,1084.0
2004-07,603.93,207.56,249.86,382.0,840.75,1017.5,1120.25,1745.0
2004-08,1047.63,3077.22,2149.12,497.0,1423.75,1618.0,1711.0,1843.0
2004-09,1206.31,4110.98,2554.52,1091.0,1623.75,1785.0,1933.25,2028.0
2004-10,1231.18,4086.03,2705.01,1198.0,1645.25,1773.0,1906.0,2046.0
2004-11,1227.47,3383.59,2499.06,1211.0,1833.75,1985.0,2037.0,2138.0
2004-12,1240.06,3447.2,2488.9,738.0,1581.0,1773.0,1929.25,2099.0
2005-01,1326.29,3787.76,3042.99,969.0,1714.75,2075.5,2415.0,2636.0
2005-02,1386.16,3783.63,2924.91,1531.0,2101.0,2158.0,2361.0,2467.0
2005-03,1247.78,3250.73,2464.01,952.0,1803.0,2077.5,2290.75,2442.0
2005-04,1295.05,4154.48,2863.25,470.0,1799.5,2103.5,2329.0,2425.0
2005-05,181.28,308.94,238.04,0.0,139.5,156.0,508.0,1234.0
2005-06,846.23,3609.56,2380.47,587.0,901.0,925.0,938.0,1664.0
2005-07,1163.57,3340.15,2494.68,547.0,1152.75,1826.0,2213.75,2437.0
2005-08,1333.87,3720.97,2800.28,1158.0,1939.5,2140.5,2307.0,2395.0
2005-09,1340.99,4095.97,3010.05,1367.0,1862.5,2070.5,2314.0,2387.0
2005-10,1157.38,3021.2,2209.96,936.0,1677.0,1892.0,2260.25,2369.0
2005-11,693.26,45.39,193.42,620.0,1270.75,1406.5,1569.0,2032.0
2005-12,716.05,6.87,176.86,248.0,1196.5,1752.5,1854.0,1992.0
2006-01,281.93,2.97,71.76,244.0,292.0,318.0,759.0,1346.0
2006-02,482.62,14.24,128.72,85.0,316.0,1014.5,1570.0,1820.0
2006-03,508.19,4.98,126.99,283.0,758.75,1096.0,1268.25,1530.0
2006-04,47.07,0.49,15.25,0.0,128.0,150.0,153.0,325.0
2006-05,125.51,499.43,265.88,0.0,144.0,187.0,507.0,802.0
2006-06,218.38,54.91,95.58,0.0,157.0,523.0,1134.0,1956.0
2006-07,1354.96,3571.88,2906.41,762.0,1871.0,2072.5,2328.25,2464.0
2006-08,1369.83,3997.78,2955.78,1443.0,1908.75,2133.5,2333.0,2491.0
2006-09,1293.41,3462.83,2463.23,1363.0,1887.5,2126.0,2351.5,2488.0
2006-10,1342.78,3537.74,2557.67,1603.0,2012.5,2275.5,2415.0,2532.0
