year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,4027.66,6800.0,15317.99,2663.0,3841.25,4222.0,4305.0,4433.0
2001-02,4230.37,6661.16,15928.44,3385.0,3991.75,4270.5,4380.0,4494.0
2001-03,3239.73,5424.93,12400.09,2580.0,3040.75,3269.5,3455.5,4446.0
2001-04,3678.38,5322.0,14783.44,2281.0,3550.75,3844.0,3933.0,4017.0
2001-05,4080.59,6001.77,16111.96,2591.0,3970.25,4230.5,4335.0,4452.0
2001-06,4174.59,5814.52,16848.03,3095.0,3859.0,4055.0,4341.0,4897.0
2001-07,4477.42,6739.18,17631.03,3675.0,4342.0,4514.5,4700.25,4932.0
2001-08,4526.6,6609.97,17935.28,3211.0,4306.5,4483.5,4730.0,4929.0
2001-09,4531.85,6879.23,17876.07,3107.0,4344.75,4584.5,4730.25,4940.0
2001-10,4448.61,7215.85,17729.74,2556.0,4210.75,4499.5,4772.0,4959.0
2001-11,4344.06,6777.51,16873.35,3307.0,4120.75,4422.0,4502.25,4662.0
2001-12,4180.15,7329.39,16498.91,3262.0,3898.5,4099.5,4460.25,4725.0
2002-01,4608.98,7287.61,18350.93,3692.0,4508.5,4649.5,4715.0,4776.0
2002-02,4342.99,8212.88,17124.15,3294.0,3852.75,4400.0,4677.0,4794.0
2002-03,3592.16,8595.39,14080.58,2405.0,3375.0,3624.0,3801.0,4722.0
2002-04,4111.55,7702.94,15857.55,2828.0,3790.25,4157.0,4297.0,4495.0
2002-05,4039.8,7539.45,15459.73,2490.0,3837.0,4136.5,4313.0,4501.0
2002-06,4308.94,7295.53,16359.44,3320.0,3948.0,4238.0,4383.0,4844.0
2002-07,4632.47,7988.9,17530.89,3032.0,4399.0,4601.0,4877.0,5099.0
2002-08,4536.93,7834.04,17345.43,2819.0,4127.0,4496.5,4774.25,5119.0
2002-09,4696.33,8412.08,17461.19,3724.0,4462.75,4667.0,4909.75,5142.0
2002-10,4371.16,5227.36,16546.6,3451.0,4170.0,4426.0,4595.25,4805.0
2002-11,4137.59,4930.27,15028.53,3223.0,3833.5,4069.0,4246.5,4511.0
2002-12,4338.34,7058.29,15842.29,3106.0,4143.75,4371.0,4599.0,5073.0
2003-01,4663.05,7734.45,16490.98,3799.0,4472.75,4668.0,4905.0,5089.0
2003-02,4125.97,7492.34,14890.03,2753.0,3566.0,4131.5,4760.75,5074.0
2003-03,3571.69,8044.54,12195.8,2500.0,3303.0,3679.0,3897.0,4933.0
2003-04,4184.81,7943.63,14429.91,2877.0,3992.75,4307.5,4531.25,5197.0
2003-05,4628.21,7199.65,16015.88,3639.0,4335.75,4509.0,4904.5,5378.0
2003-06,4534.87,7935.35,16088.82,2683.0,4215.0,4655.5,4970.75,5362.0
2003-07,4962.75,8017.16,17566.16,4185.0,4713.0,5004.5,5311.25,5431.0
2003-08,4915.71,8060.23,17501.79,3746.0,4714.75,4909.0,5166.25,5415.0
2003-09,4622.24,7366.19,16856.08,3238.0,4325.25,4634.5,4878.0,5395.0
2003-10,4450.96,8185.82,16097.93,3217.0,4270.0,4478.0,4718.25,5141.0
2003-11,4537.23,8022.12,16320.15,3154.0,4269.75,4582.5,4743.0,5014.0
2003-12,4496.8,8855.77,16271.78,3358.0,4231.0,4453.5,4661.0,4912.0
2004-01,4504.56,8804.31,16751.54,3374.0,4214.5,4505.0,4731.25,5111.0
2004-02,4015.86,7706.41,14724.11,2655.0,3642.5,4163.5,4403.0,4929.0
2004-03,3647.82,7106.1,13380.14,2710.0,3379.75,3710.0,3846.0,4875.0
2004-04,4107.0,6903.81,13956.19,2813.0,3725.25,4148.5,4389.25,5045.0
2004-05,4547.75,6871.17,15149.56,3211.0,4324.25,4572.5,4835.75,5110.0
2004-06,4698.87,7268.03,15782.59,3839.0,4532.5,4764.5,4990.0,5324.0
2004-07,4737.71,7156.88,15618.33,3666.0,4480.25,4761.5,5083.25,5533.0
2004-08,4515.21,7524.4,15175.34,3280.0,4202.75,4500.0,4755.0,5519.0
2004-09,4702.27,7804.52,16129.98,3727.0,4380.0,4634.5,4847.75,5239.0
2004-10,4716.52,7667.24,16107.49,3315.0,4332.0,4647.5,4862.25,5200.0
2004-11,4537.79,8026.02,15133.11,3390.0,4169.75,4537.5,4728.0,5128.0
2004-12,4731.01,7722.65,16003.08,3053.0,4496.0,4720.0,4818.0,5151.0
2005-01,4579.0,7820.05,15762.83,3688.0,4331.0,4543.5,4746.25,5173.0
2005-02,4216.93,8139.93,14458.89,2671.0,3763.5,4007.0,4733.25,5130.0
2005-03,3738.87,6865.73,12079.89,2753.0,3389.0,3674.0,3885.25,5135.0
2005-04,3903.79,6672.36,12287.43,2456.0,3395.0,3934.5,4423.0,4723.0
2005-05,4289.55,6336.45,13523.28,2775.0,3848.0,4406.0,4803.0,5199.0
2005-06,4586.41,7108.88,14857.87,2908.0,4292.0,4582.0,4876.75,5285.0
2005-07,4894.52,7865.12,16053.03,3230.0,4616.75,4956.5,5373.0,5832.0
2005-08,4597.94,8281.11,15085.81,3142.0,4266.75,4679.5,5025.25,5700.0
2005-09,4389.71,8081.84,15023.02,2822.0,3845.75,4514.0,4847.0,5554.0
2005-10,4310.79,8571.9,15006.51,2744.0,3953.5,4318.5,4471.5,5074.0
2005-11,4508.64,8365.0,15794.34,3327.0,4189.0,4385.0,4718.25,5153.0
2005-12,4776.59,8722.21,16677.72,3439.0,4570.75,4800.0,4960.5,5293.0
2006-01,4818.6,8164.45,17178.07,3937.0,4667.0,4831.5,4975.0,5326.0
2006-02,4783.56,10521.43,17106.48,3690.0,4522.75,4799.5,4890.0,5289.0
2006-03,4614.3,8297.34,16435.31,2606.0,4399.75,4736.5,4876.0,5475.0
2006-04,3419.47,7264.57,12342.58,2260.0,3147.5,3465.0,3692.0,4199.0
2006-05,4137.1,8253.41,14800.75,2659.0,3804.75,4060.0,4434.25,5294.0
2006-06,4899.84,9070.13,16943.74,3405.0,4562.75,5056.0,5465.0,5944.0
2006-07,4898.98,11573.91,16743.89,3658.0,4716.0,5223.5,5556.25,6078.0
2006-08,4934.03,12716.5,16849.68,3659.0,4688.0,5176.5,5601.5,6091.0
2006-09,4740.29,7927.39,16005.94,3424.0,4552.5,4927.0,5292.75,6114.0
2006-10,4578.85,4917.56,15771.99,3635.0,4402.75,4703.5,5064.5,5532.0
2006-11,4672.75,6250.56,15982.87,3347.0,4532.25,4875.0,5123.5,6008.0
2006-12,5009.48,5494.32,16811.1,4181.0,5051.75,5253.0,5494.0,5943.0
2007-01,5034.66,5988.64,16867.66,3993.0,5001.0,5246.0,5426.25,5762.0
2007-02,5010.78,5649.87,16837.71,3525.0,5020.5,5266.0,5427.5,5766.0
2007-03,4735.24,5115.66,16397.62,2840.0,4530.5,4915.5,5213.25,5712.0
2007-04,3587.59,5288.28,11655.46,2623.0,3554.5,3804.0,4084.0,4590.0
2007-05,4277.01,4909.45,13946.66,2929.0,4305.75,4680.5,4927.25,5465.0
2007-06,4709.12,4964.9,15102.77,3934.0,4813.75,5185.0,5404.0,6064.0
2007-07,5148.56,5035.67,16795.14,4305.0,5236.0,5563.0,5802.25,6020.0
2007-08,5166.77,4874.32,16797.82,4485.0,5305.75,5643.0,5887.5,6516.0
2007-09,5255.77,5407.16,17246.35,4370.0,5506.25,5794.0,6029.25,6533.0
2007-10,5030.53,6227.93,16957.63,4230.0,5330.75,5715.5,6109.0,6500.0
2007-11,4711.95,5181.34,14929.48,3750.0,4917.75,5443.5,5840.5,6284.0
2007-12,5102.87,5916.94,16638.86,4594.0,5535.0,5824.5,6097.25,6338.0
2008-01,4974.92,6135.14,16590.92,3898.0,5333.75,5663.0,5903.25,6432.0
2008-02,4692.34,5273.54,15209.71,3479.0,5035.75,5319.5,5534.0,6229.0
2008-03,4697.27,3823.47,15371.48,3858.0,4901.75,5283.5,5643.0,6070.0
2008-04,4101.48,3570.7,12963.69,3212.0,4272.75,4661.0,4998.25,6207.0
2008-05,4591.08,4655.78,15573.19,2826.0,4551.75,5024.5,5493.0,6346.0
2008-06,4596.19,4321.53,15241.86,3533.0,4350.5,5011.0,5570.25,6507.0
2008-07,5035.04,4930.93,16626.5,3804.0,4838.75,5711.5,6183.0,6528.0
2008-08,4954.58,4802.97,16078.53,3551.0,5222.25,5654.0,6100.0,6525.0
2008-09,5047.41,4998.63,16734.72,4090.0,5310.25,5786.5,6166.25,6588.0
2008-10,4757.64,4944.22,15610.45,3264.0,4939.5,5465.5,5735.25,6164.0
2008-11,4856.97,4966.98,15627.73,3700.0,5038.5,5522.0,5769.25,6149.0
2008-12,4922.64,5454.94,15924.93,3995.0,5170.25,5505.5,5816.25,6173.0
2009-01,4933.64,5371.45,15753.94,4367.0,5208.0,5601.5,5851.0,6161.0
2009-02,4589.63,4968.86,14775.38,4086.0,4885.75,5224.0,5472.25,6147.0
2009-03,4152.75,4109.95,12878.65,3446.0,4308.0,4730.5,5153.25,6009.0
2009-04,3683.73,4145.12,11336.9,2480.0,3618.5,4215.0,4721.5,5847.0
2009-05,4291.73,4826.53,14121.17,2915.0,4313.0,4962.5,5348.25,6178.0
2009-06,3908.08,4090.89,12510.46,2509.0,3600.25,4475.5,5145.5,5994.0
2009-07,4516.8,4611.89,14487.72,2906.0,4551.75,5354.5,5798.5,6455.0
2009-08,4568.0,4465.04,14669.78,2592.0,4527.5,5191.0,5862.0,6439.0
2009-09,4468.57,4856.91,14056.09,3075.0,4219.5,5032.5,5443.25,6034.0
2009-10,4311.13,4809.36,13963.25,3129.0,4345.0,4666.5,4923.25,5445.0
2009-11,4614.04,4766.55,15224.43,3322.0,4498.25,4909.5,5422.5,5961.0
2009-12,4867.36,5081.52,16214.65,3635.0,5057.75,5421.0,5626.5,5991.0
2010-01,4750.59,5118.85,15865.67,3459.0,4891.5,5216.5,5608.25,6067.0
2010-02,4478.71,5134.49,15017.73,3158.0,4583.25,5000.0,5448.0,6094.0
2010-03,4171.35,4764.25,14003.28,3491.0,4530.5,4870.0,5084.0,5578.0
2010-04,4405.35,5336.21,15555.27,3961.0,4710.75,4993.0,5207.5,5583.0
2010-05,4436.05,5465.85,14856.23,3144.0,4441.0,4964.0,5404.75,6030.0
2010-06,4336.66,5254.94,14399.51,3279.0,4156.75,4793.0,5483.0,6271.0
2010-07,4544.48,5268.52,15021.44,3513.0,4660.0,5274.5,5744.75,6443.0
2010-08,4588.31,5010.31,14954.92,3537.0,4738.0,5329.0,5746.25,6297.0
2010-09,4188.82,4967.11,14138.97,3300.0,4338.75,4818.5,5262.5,6288.0
2010-10,3468.46,4229.24,11208.76,2464.0,3539.75,3927.5,4260.75,5380.0
2010-11,3143.87,3705.01,9960.35,2245.0,3395.75,3642.0,3873.5,4714.0
2010-12,4159.79,4931.52,13307.91,3204.0,4193.75,4637.5,5064.75,5564.0
2011-01,4426.89,5368.26,14243.11,2893.0,4298.5,4996.5,5384.5,5865.0
2011-02,4134.21,5376.69,13494.44,3493.0,4282.75,4683.0,5055.25,5622.0
2011-03,3313.53,4273.08,10134.76,1934.0,3316.75,3632.0,4185.0,5319.0
2011-04,3265.69,4272.91,9707.83,2239.0,3182.0,3642.0,4017.0,5416.0
2011-05,3944.75,4655.43,11496.03,2775.0,3682.75,4553.5,4969.75,5709.0
2011-06,4008.8,4665.29,12439.1,2269.0,3711.25,4541.0,5041.25,5738.0
2011-07,4296.71,4811.43,13348.84,3023.0,4368.5,5163.5,5501.75,6175.0
2011-08,4678.96,4990.7,14814.73,3415.0,4806.75,5412.0,5832.25,6292.0
2011-09,4361.59,4980.75,13714.49,3157.0,4477.75,4996.0,5413.25,6147.0
2011-10,4310.54,4948.07,14134.57,3561.0,4402.75,4797.5,5168.75,5909.0
2011-11,3819.67,4999.21,12779.08,2831.0,3951.75,4389.5,4638.5,5366.0
2011-12,4100.48,4391.17,12911.45,2788.0,4356.0,4745.5,5010.5,5712.0
2012-01,3598.46,4155.27,10329.01,2495.0,3770.75,4181.0,4429.0,4865.0
2012-02,3772.22,4401.12,10960.66,2870.0,4055.75,4317.0,4562.25,5009.0
2012-03,3196.86,3889.75,8727.99,2589.0,3384.75,3752.0,4042.5,4815.0
2012-04,3366.79,3914.72,9120.16,2653.0,3518.25,3864.5,4212.5,5018.0
2012-05,3199.02,3477.85,8084.73,2306.0,3172.75,3695.5,4101.25,5882.0
2012-06,3968.13,4601.57,10909.7,2646.0,3721.75,4632.0,5270.25,6230.0
2012-07,4288.29,4815.19,12019.06,3039.0,3961.75,5080.0,5590.5,6335.0
2012-08,4424.65,5276.43,12828.98,3141.0,4396.75,5184.0,5631.5,6425.0
2012-09,4284.57,5769.8,12620.24,3083.0,4291.75,4925.0,5417.25,6122.0
2012-10,4276.85,5212.26,13432.16,3378.0,4427.0,4770.5,5006.0,5509.0
2012-11,4016.87,4650.29,12789.36,3026.0,4028.5,4542.0,4979.5,5440.0
2012-12,4005.69,4667.82,11960.71,2657.0,4010.25,4569.0,5076.75,5679.0
2013-01,4299.68,5022.04,13003.97,3414.0,4510.75,4834.0,5191.0,5646.0
2013-02,4213.74,4428.69,12911.83,3677.0,4322.25,4744.5,5033.0,5528.0
2013-03,4091.69,5212.76,12480.81,3415.0,4105.75,4460.0,4934.75,5610.0
2013-04,3361.3,4470.46,9504.82,2639.0,3399.75,3872.5,4239.25,4950.0
2013-05,4112.59,4932.04,13675.57,3126.0,4148.0,4552.0,4847.5,5567.0
2013-06,4345.35,4739.93,13904.57,3266.0,4303.0,4817.0,5159.75,6033.0
2013-07,4561.01,4969.19,13744.45,3586.0,4647.0,5164.5,5563.0,6229.0
2013-08,4503.12,4879.35,13336.32,3637.0,4664.75,5180.0,5546.0,6142.0
2013-09,4487.21,4797.68,13357.49,3606.0,4744.0,5180.0,5505.25,6107.0
2013-10,4556.79,4757.6,13871.71,3767.0,4777.5,5110.0,5369.25,5961.0
2013-11,4398.51,4628.14,12687.05,3075.0,4538.25,4977.5,5273.0,5788.0
2013-12,4734.94,5037.08,14324.53,4048.0,4980.25,5317.0,5516.25,6007.0
2014-01,4681.09,5587.87,14456.23,4108.0,4996.75,5270.5,5464.25,5857.0
2014-02,4272.97,4822.74,12725.54,3175.0,4327.25,4909.5,5258.5,5815.0
2014-03,3702.43,4087.91,10498.62,2680.0,3698.75,4106.0,4715.75,5659.0
2014-04,3037.14,3799.5,7948.06,2117.0,3113.75,3452.5,3789.5,4486.0
2014-05,3794.39,4612.6,10429.57,2268.0,3948.0,4442.0,4930.0,6239.0
2014-06,4657.59,5017.89,12552.46,3674.0,4996.0,5581.5,5974.5,6489.0
2014-07,4773.94,5339.06,13214.74,3394.0,5215.0,5714.0,6071.5,6720.0
2014-08,4788.92,5447.9,13137.81,4060.0,5176.0,5642.5,6042.25,6767.0
2014-09,4447.54,4999.67,12339.83,3607.0,4777.0,5189.0,5620.75,6325.0
2014-10,4017.34,4645.49,11363.43,3192.0,4255.25,4681.0,5042.5,5716.0
2014-11,4489.42,4990.02,12748.21,3415.0,4654.75,5207.5,5592.0,6381.0
2014-12,4514.25,5354.24,13161.63,2951.0,4702.5,5262.0,5583.0,6202.0
2015-01,4567.42,5656.69,13307.7,3531.0,4737.5,5199.5,5525.25,6046.0
2015-02,4293.86,5253.67,12467.72,3579.0,4416.25,4882.0,5238.0,5929.0
2015-03,3830.09,4669.24,10727.08,2599.0,3897.75,4433.0,4756.0,5857.0
2015-04,3333.37,3259.41,8459.11,2665.0,3465.75,3775.5,4177.5,5886.0
2015-05,3978.57,2729.87,9968.33,3254.0,4183.75,4731.0,5075.25,5787.0
2015-06,4324.07,2995.58,10997.62,2914.0,4373.0,5197.0,5746.25,6370.0
2015-07,4255.95,2763.24,10873.05,3538.0,4609.25,5093.5,5428.0,6289.0
2015-08,4428.54,2685.22,11247.86,3353.0,4460.0,5322.0,5903.75,6804.0
2015-09,4220.04,2641.43,10842.01,3139.0,4351.75,5111.5,5593.25,6737.0
2015-10,3745.83,2280.93,9951.82,2816.0,3984.75,4536.5,4808.0,5642.0
2015-11,3831.54,2365.62,9702.86,3067.0,4044.75,4543.0,4950.75,6002.0
2015-12,4211.13,2936.92,10454.94,3338.0,4495.25,4959.5,5314.75,6289.0
2016-01,4045.9,2599.55,9853.36,3289.0,4225.5,4689.0,5174.0,6076.0
2016-02,3464.16,2054.7,7848.01,2409.0,3509.75,4078.0,4683.5,5921.0
2016-03,2462.37,1325.92,5087.73,1949.0,2721.0,3090.0,3413.5,4350.0
2016-04,2243.95,1272.87,4326.67,1654.0,2490.5,2933.5,3250.5,4103.0
2016-05,2451.44,1346.93,4470.74,1970.0,2916.25,3203.5,3592.75,4748.0
2016-06,3585.41,2254.89,7098.8,2733.0,3810.5,4326.0,5021.0,6644.0
2016-07,3895.22,2500.84,8201.49,3335.0,4033.75,4639.5,5526.5,6725.0
2016-08,3977.56,2643.53,8387.36,2890.0,4047.75,4641.5,5590.75,6668.0
2016-09,3586.55,2399.36,7124.92,2731.0,3630.75,4080.0,4821.25,6132.0
2016-10,3620.98,2574.58,7297.57,2580.0,3760.0,4069.5,4629.75,6150.0
2016-11,3492.06,2525.43,7286.36,2629.0,3496.25,3876.5,4416.25,5856.0
2016-12,4029.98,2907.12,8756.61,3141.0,4072.5,4543.5,5166.5,6012.0
2017-01,4032.85,2692.33,8586.04,3231.0,4183.25,4649.5,5267.25,6306.0
2017-02,3240.03,2022.84,6619.49,1893.0,3013.25,3626.5,4122.5,5771.0
2017-03,2283.85,1575.0,4671.71,1311.0,2079.0,2437.5,2992.0,4065.0
2017-04,2159.62,1465.83,4390.78,1019.0,1880.0,2363.5,2944.0,4525.0
2017-05,2926.09,2076.16,5911.57,1490.0,2598.25,3157.5,3861.25,6035.0
2017-06,3299.75,2293.7,6743.23,1794.0,2781.5,3496.5,4823.75,6500.0
