year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,1325.7,15397.66,4612.42,946.0,964.0,1653.5,1664.0,1683.0
2001-02,1327.6,16485.58,4625.27,250.0,1501.25,1649.0,1660.0,1677.0
2001-03,1400.21,17160.54,4902.15,249.0,1620.0,1648.0,1656.0,1673.0
2001-04,929.83,12563.09,3301.56,0.0,700.0,705.0,1387.0,1464.0
2001-05,721.93,8319.29,2354.79,0.0,707.0,931.0,946.0,965.0
2001-06,997.02,12486.44,2921.5,849.0,947.0,953.0,967.0,1636.0
2001-07,1285.29,17687.03,3656.03,236.0,940.75,1565.0,1626.25,1683.0
2001-08,1440.25,20838.47,3888.03,901.0,1592.75,1664.0,1679.25,1705.0
2001-09,1292.35,19940.41,3726.55,16.0,957.75,1444.0,1645.0,1693.0
2001-10,1216.09,16741.97,4448.92,905.0,952.0,1093.0,1680.0,1730.0
2001-11,1521.33,12533.3,6418.36,894.0,1596.25,1665.5,1692.0,1822.0
2001-12,1568.71,13167.01,5400.66,930.0,1582.5,1664.0,1683.0,1761.0
2002-01,1670.68,13270.28,4821.72,1277.0,1668.0,1684.0,1692.0,1750.0
2002-02,1417.04,11861.88,4225.06,246.0,1293.0,1657.0,1685.0,1743.0
2002-03,1678.43,12849.69,5044.35,936.0,1680.0,1705.0,1794.0,1865.0
2002-04,905.88,2954.23,2548.5,206.0,685.25,742.0,1027.0,1582.0
2002-05,712.26,600.22,1770.44,0.0,586.25,739.0,744.0,829.0
2002-06,352.87,1799.49,1039.31,0.0,212.0,385.0,495.25,1051.0
2002-07,775.5,724.26,2103.62,0.0,243.75,558.5,1213.25,1799.0
2002-08,1556.61,1443.3,3704.93,893.0,1613.0,1710.0,1737.0,1791.0
2002-09,1658.72,1477.83,4197.97,1126.0,1729.0,1748.0,1904.0,2010.0
2002-10,1466.13,1772.18,3972.72,1037.0,1745.0,1756.0,1786.0,1979.0
2002-11,1528.06,1711.98,3870.85,996.0,1732.0,1749.0,1918.0,2142.0
2002-12,1676.89,2112.67,5294.84,1324.0,1741.0,2029.5,2106.25,2153.0
2003-01,1914.74,1691.94,7542.47,1502.0,1691.0,1718.0,1749.0,2105.0
2003-02,1761.39,1858.91,6053.5,754.0,1784.75,1896.0,2079.0,2140.0
2003-03,1743.26,1800.97,3743.99,486.0,1622.0,1714.0,2066.0,2121.0
2003-04,1310.26,1570.07,3473.58,677.0,733.0,1451.0,1457.0,1480.0
2003-05,1404.08,1949.53,4101.81,386.0,825.75,1462.0,1473.0,1655.0
2003-06,1391.11,1933.26,3699.83,453.0,1209.25,1471.0,1485.25,1767.0
2003-07,1797.75,2121.75,5217.12,1137.0,1723.0,1880.0,2040.25,2147.0
2003-08,1828.91,1920.48,6056.1,1675.0,1762.0,1874.0,2049.0,2091.0
2003-09,1629.38,1679.39,3821.19,1180.0,1702.25,2106.0,2188.25,2268.0
2003-10,1818.58,1929.41,4896.78,1267.0,1720.75,1917.5,2065.0,2249.0
2003-11,1763.08,2059.6,4115.52,993.0,1657.25,1998.5,2087.0,2457.0
2003-12,1759.83,2198.71,3892.08,916.0,1717.0,1726.0,1732.0,2097.0
2004-01,1789.81,1941.25,3783.74,605.0,1716.0,1889.5,2057.0,2310.0
2004-02,1909.55,1795.43,4047.65,603.0,2058.0,2134.0,2230.0,2297.0
2004-03,1637.33,1787.54,3722.19,1248.0,1675.0,1701.0,1962.5,2128.0
2004-04,1730.81,1762.1,3950.86,1088.0,1678.0,1694.0,2122.5,2243.0
2004-05,764.52,937.05,1736.44,0.0,717.75,886.0,1039.25,1236.0
2004-06,1220.31,1473.72,3189.84,0.0,720.0,1047.0,1441.0,1961.0
2004-07,1748.09,1525.71,3097.59,761.0,1645.75,1937.0,2323.0,2548.0
2004-08,1982.34,1548.95,4072.35,1567.0,1899.75,2336.5,2401.0,2499.0
2004-09,1883.66,1557.18,3561.53,1374.0,1883.0,2030.5,2185.0,2379.0
2004-10,1868.74,1746.55,4029.7,1450.0,1874.75,2025.5,2184.0,2415.0
2004-11,1811.01,1315.14,3951.9,1141.0,1728.75,2018.0,2308.5,2442.0
2004-12,1592.24,1471.75,3686.48,998.0,1621.0,1718.5,1755.25,2414.0
2005-01,1873.08,1182.21,4657.6,1333.0,1679.0,1939.0,2449.25,2884.0
2005-02,1787.95,1678.1,4548.22,1131.0,1716.75,2059.0,2169.0,2483.0
2005-03,1877.8,837.28,4478.34,967.0,1705.0,1963.0,2180.0,2472.0
2005-04,1661.09,758.76,3817.78,739.0,1153.0,1855.0,2191.25,2582.0
2005-05,613.89,544.17,1749.88,0.0,538.0,737.0,750.0,1332.0
2005-06,1393.23,763.46,3531.97,381.0,1046.25,1443.0,1484.0,2022.0
2005-07,1812.03,443.6,3808.71,980.0,1728.0,1854.0,2206.75,2814.0
2005-08,2030.71,390.94,4175.67,1058.0,2097.0,2353.0,2500.5,2892.0
2005-09,1956.74,688.9,4429.86,1354.0,1857.0,2132.5,2220.0,2693.0
