year_month,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw
2001-01,6085.95,17308.58,20176.89,4595.0,5318.5,5600.5,5716.0,6082.0
2001-02,6375.34,21045.94,21078.04,4975.0,5596.75,5772.5,5892.25,6039.0
2001-03,6324.01,20705.41,20967.14,4787.0,5488.5,5759.0,5919.5,6083.0
2001-04,5521.42,17793.35,18231.92,3645.0,4739.75,4884.0,5258.25,5523.0
2001-05,5260.03,18398.51,17507.77,3509.0,4475.75,4763.0,4935.0,5403.0
2001-06,5708.68,19730.52,19063.87,3827.0,4800.5,5103.0,5534.75,6022.0
2001-07,6232.48,20747.05,20509.43,4068.0,5457.75,5666.0,5806.25,6020.0
2001-08,5884.76,19157.67,19309.81,3543.0,5054.5,5505.5,5655.25,5986.0
2001-09,5484.67,18454.07,17674.09,3694.0,4608.0,5102.5,5456.75,6014.0
2001-10,5403.91,18421.38,17420.88,3223.0,4681.0,5154.0,5428.0,5884.0
2001-11,6100.62,20414.02,19841.61,4312.0,5420.0,5642.0,5887.25,6028.0
2001-12,5785.07,19405.88,19339.18,4143.0,4874.0,5264.5,5728.75,6031.0
2002-01,5779.25,18727.51,19625.74,3902.0,5036.0,5344.0,5566.25,5988.0
2002-02,5743.56,17611.1,18778.1,4026.0,5082.75,5428.5,5637.25,6032.0
2002-03,5949.76,19668.21,20095.24,4250.0,5168.25,5462.0,5897.25,6063.0
2002-04,4782.3,15414.37,16000.64,3150.0,4006.25,4451.0,4819.0,5211.0
2002-05,4818.6,16241.55,16687.17,3652.0,4286.5,4516.0,4617.0,5175.0
2002-06,4745.2,17109.08,16015.35,2716.0,3939.5,4423.0,4880.5,5695.0
2002-07,5715.57,19025.65,19856.91,4285.0,5029.5,5357.0,5577.0,5958.0
2002-08,5579.09,18240.83,19792.81,4073.0,4996.75,5340.0,5581.0,5913.0
2002-09,5697.01,18400.22,20146.51,3490.0,5281.75,5623.0,5744.0,5987.0
2002-10,5498.28,17598.38,19176.11,4184.0,4875.5,5199.5,5478.25,5854.0
2002-11,5736.6,19029.74,20206.57,4430.0,4857.5,5256.5,5678.75,6013.0
2002-12,6067.41,20636.81,21139.71,4544.0,5518.0,5751.0,5826.0,6000.0
2003-01,6109.28,20546.27,21382.08,4811.0,5582.5,5785.5,5876.0,6003.0
2003-02,5855.84,19398.26,20650.36,4521.0,5140.5,5552.0,5771.25,5957.0
2003-03,5651.59,18991.31,19530.82,2949.0,4936.0,5254.0,5545.0,5984.0
2003-04,4665.36,16899.0,15654.96,2958.0,4123.5,4419.0,4635.75,4957.0
2003-05,4712.33,16029.25,16068.78,3404.0,4110.0,4352.5,4590.25,5406.0
2003-06,5259.6,19068.32,18080.0,3513.0,4560.75,4942.5,5281.25,5866.0
2003-07,5808.16,19903.38,20294.37,4091.0,5169.5,5483.5,5821.0,6040.0
2003-08,5616.68,18977.02,18939.02,3635.0,4842.75,5272.5,5655.5,5967.0
2003-09,5495.76,17895.32,18719.61,4043.0,4834.75,5172.0,5363.25,5835.0
2003-10,5390.29,16783.44,18170.25,3774.0,4798.25,4998.5,5231.75,5472.0
2003-11,5845.74,18731.29,20322.99,4687.0,5171.0,5470.5,5633.25,5922.0
2003-12,5851.18,19286.18,20737.82,3589.0,5178.0,5516.0,5783.0,6090.0
2004-01,5866.14,19498.04,20725.57,4281.0,5132.25,5461.0,5804.5,6043.0
2004-02,5922.42,20279.69,21123.18,4443.0,5122.0,5459.0,5856.25,6049.0
2004-03,5635.42,19189.98,19688.24,4322.0,4960.5,5227.0,5432.5,5962.0
2004-04,5238.15,16985.49,18862.33,3798.0,4393.5,4745.0,5126.75,5792.0
2004-05,4529.55,15834.5,16740.82,2797.0,3770.0,4059.5,4354.0,4826.0
2004-06,5805.7,19892.47,21734.1,4170.0,4949.5,5243.5,5503.0,6008.0
2004-07,5799.7,18594.16,21023.82,3959.0,4926.75,5377.0,5672.0,5994.0
2004-08,6054.53,18922.83,21674.74,4301.0,5402.75,5600.5,5831.0,5958.0
2004-09,6196.27,19882.46,22569.84,4864.0,5567.25,5804.0,5881.25,5994.0
2004-10,5645.27,19085.78,21814.61,4015.0,4846.25,5287.0,5585.25,5945.0
2004-11,6027.59,20386.8,23032.49,4607.0,5367.0,5605.0,5859.25,6038.0
2004-12,5852.71,21571.63,21805.5,4229.0,5090.0,5463.0,5734.0,6057.0
2005-01,5826.36,20072.34,20328.52,4541.0,5106.5,5361.5,5616.0,5917.0
2005-02,5864.26,20280.83,21088.69,3590.0,5207.5,5496.5,5758.25,5971.0
2005-03,5752.89,19830.94,20481.58,4522.0,5022.75,5347.5,5554.0,5974.0
2005-04,4917.32,17620.3,17883.61,3633.0,4285.75,4464.0,4800.25,5709.0
2005-05,4386.22,15335.88,15830.02,2946.0,3804.0,4144.0,4353.0,4689.0
2005-06,5812.89,19508.18,19958.39,4234.0,5041.25,5468.0,5741.0,5952.0
2005-07,5841.17,19724.48,20147.7,3825.0,5098.5,5521.5,5716.0,5956.0
2005-08,6189.82,20918.35,21797.6,4570.0,5494.0,5843.0,5924.0,6061.0
2005-09,5774.64,20381.82,20082.97,4262.0,5040.75,5337.0,5656.75,5991.0
2005-10,6103.23,20364.73,21149.71,4790.0,5306.75,5570.5,5859.0,6030.0
2005-11,6091.42,22234.65,21300.27,4661.0,5356.75,5558.5,5763.25,5975.0
2005-12,6023.96,20791.65,20384.8,4589.0,5265.5,5444.5,5767.25,5985.0
2006-01,6232.7,20750.23,21991.56,4543.0,5390.0,5697.0,5876.0,6040.0
2006-02,5998.72,21039.25,20797.25,4153.0,5179.25,5456.5,5786.25,5984.0
2006-03,6033.25,20918.04,21421.58,3638.0,5360.0,5698.0,5838.0,6018.0
2006-04,4768.12,16007.38,15197.88,3065.0,3991.0,4255.0,4870.25,5440.0
2006-05,4141.52,13730.99,13385.67,2208.0,3550.0,3858.0,4095.5,4612.0
2006-06,5100.74,16982.95,17037.53,3011.0,4251.5,4808.5,5276.75,5686.0
2006-07,5913.08,18556.08,20050.38,4229.0,5198.0,5504.0,5762.0,6018.0
2006-08,6087.91,19863.06,20448.55,4179.0,5532.75,5749.0,5899.25,6030.0
2006-09,5967.5,19187.33,20136.09,4285.0,5382.0,5687.0,5850.0,6017.0
2006-10,5747.25,18886.77,18914.53,4037.0,5074.0,5374.0,5635.5,6073.0
2006-11,6148.78,20324.59,20703.78,4145.0,5416.0,5827.5,5941.25,6086.0
2006-12,5760.32,19648.7,19388.33,4468.0,5056.75,5293.5,5597.25,6000.0
2007-01,5824.81,19482.37,19354.98,4706.0,5193.0,5426.5,5585.0,5791.0
2007-02,5584.41,18892.12,19177.9,3844.0,4925.75,5145.5,5559.0,5911.0
2007-03,5237.74,16130.87,17058.45,3322.0,4406.0,4945.0,5110.0,5822.0
2007-04,4523.78,15581.68,15045.03,2804.0,3967.75,4228.5,4485.0,4881.0
2007-05,5115.38,17572.64,16112.39,3102.0,4295.75,4730.0,5023.5,5375.0
2007-06,6027.97,19266.19,18458.43,4521.0,5297.5,5462.0,5806.5,6071.0
2007-07,6007.86,19738.87,17962.93,4643.0,5262.75,5550.5,5885.75,6061.0
2007-08,6124.82,19778.54,18335.78,4667.0,5424.5,5673.5,5976.25,6120.0
2007-09,6025.68,19198.7,18394.96,4032.0,5327.0,5572.5,5784.0,6115.0
2007-10,5786.75,18671.21,17363.98,3156.0,5033.0,5318.5,5691.0,6087.0
2007-11,6030.73,19618.68,18641.0,4387.0,5319.0,5520.5,5843.0,6119.0
2007-12,6148.08,19819.48,19167.14,4333.0,5311.5,5684.5,5941.0,6120.0
2008-01,6224.94,20287.38,19022.5,4390.0,5331.25,5759.0,5995.25,6217.0
2008-02,6174.2,20557.24,18986.44,3956.0,5480.0,5737.5,6011.0,6227.0
2008-03,5848.56,18979.83,18639.24,4139.0,5077.5,5454.0,5721.25,6077.0
2008-04,5029.19,17412.06,15153.25,3348.0,4076.5,4592.5,4931.25,5533.0
2008-05,4873.15,16704.78,14178.26,3171.0,4234.0,4586.0,4768.25,4925.0
2008-06,5454.47,18135.27,15614.76,3658.0,4539.0,5016.5,5638.5,6122.0
2008-07,6134.1,19029.36,17652.65,4734.0,5493.5,5712.5,5984.25,6147.0
2008-08,6121.75,18714.29,17828.45,3721.0,5445.75,5793.0,5979.0,6134.0
2008-09,6106.69,18765.82,17860.31,4420.0,5494.25,5677.5,5886.25,6100.0
2008-10,5490.87,16728.53,15661.03,4175.0,4865.5,5105.5,5419.0,5853.0
2008-11,5613.15,18293.61,16209.1,4170.0,4953.0,5240.0,5492.25,6089.0
2008-12,6225.0,20300.58,18086.11,4701.0,5675.0,5912.5,6040.0,6182.0
2009-01,6227.33,19818.96,18182.45,4888.0,5500.5,5903.5,6039.0,6168.0
2009-02,6176.82,19481.5,17498.92,4831.0,5405.5,5656.0,5977.75,6179.0
2009-03,5559.0,17386.26,15495.35,3866.0,4812.75,5231.0,5469.0,5917.0
2009-04,3961.04,13809.21,10917.31,2636.0,3449.0,3664.0,4038.5,4656.0
2009-05,3953.73,13713.43,11120.08,2460.0,3525.5,3768.5,4040.0,4358.0
2009-06,4533.65,15461.77,12426.27,2566.0,3555.25,4167.0,4845.0,6058.0
2009-07,5971.87,18034.17,16152.37,4112.0,5375.0,5612.5,5878.25,6264.0
2009-08,5559.28,16917.87,15535.29,3746.0,5085.5,5398.0,5581.25,6183.0
2009-09,5579.86,16448.26,15118.34,4313.0,5051.75,5391.0,5538.25,5683.0
2009-10,6021.11,16923.94,16472.25,4088.0,5433.75,5762.5,6027.25,6248.0
2009-11,6077.26,17374.87,16539.45,4690.0,5545.75,5829.5,6100.25,6301.0
2009-12,5721.13,16159.35,16023.63,4414.0,5162.0,5435.0,5617.25,6253.0
2010-01,6034.76,17678.77,16515.09,4872.0,5495.25,5698.0,5912.5,6186.0
2010-02,6142.7,18119.69,16980.57,4561.0,5735.25,5891.5,6064.25,6195.0
2010-03,5522.56,15426.26,14836.47,4381.0,4852.25,5179.5,5422.75,6090.0
2010-04,4796.35,13116.51,11979.95,3251.0,4199.0,4542.0,4887.5,5448.0
2010-05,4789.86,13013.38,11596.73,3529.0,4227.0,4488.5,4692.25,5008.0
2010-06,4725.2,12753.82,11466.92,3216.0,3975.5,4374.0,4719.25,5385.0
2010-07,6041.11,14857.99,14137.49,4529.0,5267.75,5634.0,5907.5,6270.0
2010-08,5870.09,14547.39,13683.91,4308.0,5091.0,5400.5,5723.75,6276.0
2010-09,5593.1,14122.41,13207.69,3495.0,4691.0,5110.5,5692.25,6275.0
2010-10,5709.14,14101.72,13278.75,3804.0,5046.0,5314.0,5533.0,5952.0
2010-11,6145.88,14674.49,14418.54,3418.0,5488.25,5750.0,5909.25,6270.0
2010-12,6293.87,15439.04,14903.95,5062.0,5536.75,5828.5,6018.0,6277.0
2011-01,5678.13,14434.64,13599.75,3905.0,4967.75,5216.0,5403.25,6094.0
2011-02,5466.64,13983.02,12976.67,4197.0,4779.0,5001.0,5456.25,5944.0
2011-03,5188.44,12656.05,12204.91,3495.0,4536.0,4854.5,5138.75,5781.0
2011-04,4545.27,12126.13,10543.05,3131.0,3945.5,4246.5,4483.5,5791.0
2011-05,4237.65,10604.94,9492.56,2942.0,3564.75,3827.0,4251.0,4934.0
2011-06,5046.51,12105.22,11162.16,3265.0,4179.75,4695.0,5075.5,5524.0
2011-07,5376.04,12338.25,11931.33,3287.0,4535.5,4905.5,5339.5,6119.0
2011-08,6138.64,13018.02,12945.43,4226.0,5249.5,5791.5,6143.0,6675.0
2011-09,6188.6,11998.77,12344.16,4829.0,5456.0,5758.5,6061.25,6746.0
2011-10,5576.14,10925.16,10931.97,3808.0,4827.25,5198.0,5520.75,6140.0
2011-11,5900.14,15253.64,12626.28,4388.0,5056.25,5353.5,5567.0,6487.0
2011-12,6618.01,11629.29,13500.92,5001.0,5857.75,6175.5,6402.5,6746.0
2012-01,6432.1,11441.61,12515.29,4808.0,5670.75,5996.0,6172.25,6632.0
2012-02,6393.69,11710.77,12503.58,4670.0,5664.75,5880.0,6107.5,6611.0
2012-03,5080.66,9028.71,10060.92,2871.0,4333.5,4695.0,5121.0,6204.0
2012-04,4018.2,6435.89,7753.75,2915.0,3440.5,3705.0,3887.25,4675.0
2012-05,4422.26,6628.67,8488.32,2977.0,3791.5,4153.5,4425.5,4959.0
2012-06,5269.17,7802.84,9147.11,3474.0,4586.5,4874.5,5146.25,6676.0
