orispl_code,state,county,name,latitude,longitude,orispl_code,operator,primary_fuel,years
9,TX,El Paso,Copper Station,31.7569,-106.375,9,El Paso Electric Company,Pipeline Natural Gas,2008-2017
87,NM,McKinley,Escalante ,35.4159,-108.082,87,Tri-State Generation & Transmission,Coal,2001-2017
113,AZ,Navajo,Cholla,34.9394,-110.3033,113,Arizona Public Service Company,Coal,2001-2017
116,AZ,Maricopa,Ocotillo Power Plant,33.4225,-111.9122,116,Arizona Public Service Company,Pipeline Natural Gas,2001-2017
117,AZ,Maricopa,APS West Phoenix Power Plant,33.4417,-112.1583,117,Arizona Public Service Company,Pipeline Natural Gas,2001-2017
118,AZ,Pinal,APS Saguaro Power Plant,32.5517,-111.3,118,Arizona Public Service Company,Pipeline Natural Gas,2001-2017
120,AZ,Yuma,Yucca Power Plant,32.7214,-114.7097,120,Arizona Public Service Company,Pipeline Natural Gas,2001-2017
124,AZ,Pima,De Moss Petrie Generating Station,32.2511,-110.9889,124,Tucson Electric Power Company,Natural Gas,2001-2017
126,AZ,Pima,Irvington Generating Station,32.16,-110.9047,126,Tucson Electric Power Company,Natural Gas,2001-2017
141,AZ,Maricopa,Agua Fria Generating Station,33.5542,-112.2161,141,Salt River Project,Pipeline Natural Gas,2001-2017
147,AZ,Maricopa,Kyrene Generating Station,33.3544,-111.9364,147,Salt River Project,Pipeline Natural Gas,2001-2017
160,AZ,Cochise,Apache Station,32.0619,-109.8931,160,Arizona Electric Power Cooperative,Pipeline Natural Gas,2001-2017
228,CA,Contra Costa,Contra Costa Generating Station,38.0184,-121.761,228,"Contra Costa Power Plant, NRG Delta LLC",Pipeline Natural Gas,2001-2013
246,CA,Humboldt,Humboldt Bay,40.7415,-124.2103,246,Pacific Gas and Electric Company,Pipeline Natural Gas,2001-2010
247,CA,San Francisco,Hunters Point,37.7372,-122.378,247,Pacific Gas and Electric Company,Pipeline Natural Gas,2001-2006
259,CA,San Luis Obispo,"Morro Bay Power Plant, LLC",35.3747,-120.8578,259,Dynegy Power Corporation,Pipeline Natural Gas,2001-2014
260,CA,Monterey,Moss Landing,36.8042,-121.7775,260,"Dynegy Moss Landing,, LLC",Pipeline Natural Gas,2001-2017
