orispl_code,max_gload
9,70.0
3456,617.0
58562,376.0
607,124.0
3845,1713.0
7605,273.0
7870,135.0
7945,31.0
7999,658.0
54476,100.0
54537,195.0
55482,320.0
55662,534.0
55700,328.0
55818,283.0
228,751.0
246,109.0
247,175.0
259,1027.0
260,2617.0
271,1991.0
273,213.0
302,978.0
310,733.0
315,1983.0
329,676.0
330,979.0
331,916.0
335,884.0
341,264.0
345,457.0
350,1549.0
356,1305.0
358,1161.0
375,7.0
377,111.0
389,290.0
399,2483.0
400,1539.0
404,827.0
408,595.0
420,130.0
422,158.0
6013,96.0
7266,130.0
7307,120.0
7315,212.0
7449,53.0
7527,361.0
7551,174.0
7552,204.0
7693,52.0
7987,49.0
8058,145.0
10034,303.0
10156,49.0
10169,56.0
10294,49.0
10349,63.0
10350,58.0
10405,25.0
50131,43.0
50864,42.0
50865,53.0
54238,54.0
54749,52.0
55112,1085.0
55151,1092.0
55182,608.0
55217,628.0
55295,389.0
55333,919.0
55345,622.0
55393,609.0
55400,576.0
55499,55.0
55508,60.0
55510,53.0
55512,53.0
55513,51.0
55518,530.0
55538,50.0
55540,56.0
55541,150.0
55542,100.0
55625,50.0
55626,50.0
55627,50.0
55656,814.0
55698,102.0
55748,322.0
55807,104.0
55810,149.0
55847,60.0
55853,769.0
55855,50.0
55875,51.0
55933,352.0
55951,49.0
55963,50.0
55970,546.0
55985,577.0
56026,152.0
56041,154.0
56046,316.0
56078,268.0
56135,106.0
56143,203.0
56232,100.0
56239,159.0
56298,171.0
56467,643.0
56471,51.0
56472,51.0
56473,51.0
56474,51.0
56475,51.0
56476,598.0
56532,697.0
56569,97.0
56639,121.0
56803,426.0
56914,102.0
57001,50.0
57027,202.0
57267,817.0
57482,765.0
57483,205.0
57515,535.0
57555,340.0
57564,40.0
57978,210.0
58122,51.0
6106,644.0
7350,584.0
54761,494.0
55103,555.0
55328,672.0
55544,120.0
55683,25.0
56227,445.0
58503,492.0
2322,657.0
2324,667.0
2326,89.0
2330,232.0
2336,849.0
2341,1590.0
7082,659.0
8224,1580.0
10761,228.0
54854,222.0
55077,507.0
55322,1156.0
55494,300.0
55514,547.0
55687,619.0
55841,580.0
56224,242.0
113,1145.0
116,228.0
117,652.0
118,287.0
120,170.0
124,85.0
126,413.0
141,842.0
147,362.0
160,724.0
4941,2444.0
6177,886.0
8068,949.0
8223,1749.0
54694,59.0
55124,598.0
55129,633.0
55177,561.0
55282,603.0
55306,2222.0
55372,670.0
55455,1101.0
55481,1299.0
55522,425.0
56482,96.0
56948,585.0
87,273.0
2442,2245.0
2444,321.0
2446,129.0
2450,170.0
2451,1900.0
2454,496.0
7967,85.0
7975,164.0
54814,138.0
55039,159.0
55210,249.0
55343,593.0
55802,168.0
55977,60.0
56458,705.0
58284,42.0
465,251.0
468,56.0
469,980.0
470,1549.0
477,200.0
478,152.0
492,282.0
508,39.0
525,505.0
527,115.0
6021,1410.0
6112,1050.0
6248,561.0
6761,693.0
8219,296.0
10682,184.0
50707,185.0
55127,317.0
55200,137.0
55207,93.0
55209,151.0
55283,533.0
55453,270.0
55504,164.0
55505,159.0
55645,321.0
55835,644.0
56445,330.0
56998,381.0
3644,191.0
3648,351.0
6165,1473.0
6481,1918.0
7790,507.0
8069,981.0
50951,61.0
55622,223.0
55858,72.0
56102,590.0
56177,153.0
56237,1168.0
56253,394.0
4158,875.0
4162,773.0
6101,405.0
6204,1844.0
7504,140.0
8066,2272.0
55477,40.0
55479,99.0
56319,106.0
56596,118.0
56609,453.0
57703,116.0
2176,48.0
2187,172.0
6076,2294.0
6089,58.0
55749,120.0
56606,102.0
56908,149.0
57480,46.0
7456,183.0
7953,299.0
55179,293.0
55733,201.0
57028,331.0
